Tweet,Sarcasm (yes/no)
An automated system set up by the council to make things easier doesn't actually work. I'm shocked to my very core,yes
acche din for both China and India,yes
WOW!!! Can totally see the difference!,yes
"Accept that some days you are the pigeon, and some days you are the statue. - Dilbert",yes
Hey helicopter! Thx sooo much for flying above our building for 1/2 hour just now and waking everyone up!,yes
"This is the ""It's Monday."" face.",yes
Team photoshoot in the middle of the street wasn't awkward at all but i do love getting weird looks from strangers,yes
Looks like England are missing Jimmy,yes
And the world was always a good place to live in!!! *holds a board*,yes
"Yes Cutler,  please get hurt. It's only preseason.",yes
Nice people the Tories,yes
..hahaha I know what u meant.,yes
cant believe obama didnt try to throw in some gitmo detainees as an exchange before they came home.,yes
The I love you but Imma block you &gt;&gt;&gt;&gt;,yes
After a lot of thought and planning  has launched her new logo.,yes
it has been,yes
Time to cut down all the trees! 2 teens killed in Yosemite when tree branch falls on tent,yes
silly you have to,yes
Always tell others how they should live their lives,yes
Very disturbing image... Look at that little one threatening the police!,yes
Just had a 2014 Bowman Draft Case break w/ 4 Missing. 4 Really? I am sure you will replace them with something great,yes
Whats the problem with Donald Trump?,yes
Love going to websites and Facebook pages to find they have not been updated for months or years!,yes
 by whimsy.wonderful,yes
there are single celled plants superior to most i saw today,yes
. disinvited to 'Hick Prom'? I'm sure he'll bounce back from this terrible development.,yes
but how much coal power does it take to power one of those wind farms?,yes
After his big weekend Shaw finally able to crack potent Sox lineup,yes
they wrote 'an suspected' instead of 'a suspected'. Lol intended,yes
Thank you for your hindsight and wonderful insight into historical cause and effect.,no
Yes that is,yes
"Mitchell, Weise, Gilbert. Or De La Rose, Emelin, Pateryn.",yes
Nice job modeling Christ.,yes
Only Person I Trust More than  Democrats Are Useful Idiots For 1% Rulers,yes
Can we have more stories about Man Utd. You really don't cover them enough,yes
makes sense on a road course,no
Rainbow Six delayed. Ubisoft taking their time to downgrade the graphics.,yes
no but it makes you a model,yes
well thanks for taking ownership of this and going above &amp; beyond with your customer care,yes
Pot using gangsters live on my street! I was terrified! I approached them and they offered me pizza! Lets get them!,yes
Nice to see  putting winning and the team above everything.,yes
- this gives those of us in geography a sense of job security. Keep it up,yes
"Yeah they should have done something original like, have some fine women hanging around cars and guns.",yes
"Nah, I'm not nervous at all.",yes
Is the highest form of ?,yes
omg he said he was the devil and he was coming to end the world,yes
Very surprised Kozma made an out there. He's usually clutch.,yes
Ya America doesn't have a gun problem...,yes
And the Tigers jump out to a mssive 12 point lead,yes
LeVon Washington still plays baseball?!,yes
"Shocked my job isn't on this list.  ""These Are the Highest-Paying Jobs of 2015""",yes
"Well, that was the most delightful Friday evening rush hour ever.",yes
"I heard that  and  are getting married, hence their divorces",yes
you're right... thad lewis is better than johnny Menzel bow,yes
Today's vlog MIGHT be up before midnight tonight thanks to 's amazing service. Best internet ever.,yes
Blown away by the size of this generous,yes
"Too cute, lol!",yes
you know what I love? people who respond to stress by being horrible humans to everyone around them!,yes
"Oh goody, the software manual is only 844 pages long. That's just the sort of light summer reading I enjoy on a Friday afternoon.",yes
Exactly. Imma smartass...so stop bein a lil bitch :),yes
Are we all that led by  &amp;  ? I haven't eaten Kale in 3 wks... Hope I don't die!,yes
love my mind... I totally wanted to sleep 3 hours on a saturday!,yes
"Awwwwwww, someone sayang this timid pap govt, soooooo scared of harassment ...",yes
3am. Stuck awake. Another early night then.,yes
Caught a knock-out on my Disney's Cars fishing pole. Gold star to whoever can guess what…,yes
of course! Whites are to blame for every fucking thing wrong w this country!,yes
Yeah right. I will believe that.,yes
". Well, I mean",no
"I thought was the reason I had no friends in . But nope, it's me...",yes
"Politics, n: Poly ""many"" + tics ""blood-sucking parasites"" ~ Larry Hardiman",yes
Look we are in support of increasing your sales !!  can provide ride too !!,yes
"There couldn't possibly be another interesting man in the house, just the great Austin",yes
but it's on TV ... it must be real right? 'Cause TV wouldn't show us a non-realistic reality right?,yes
Just watched that interview  those people SO don't get British humour/sarcasm! U were awesome!!,yes
I love work so much that I'm missing two concerts this week just to go to work. ,yes
"Yes, apparently too many disabled people are getting away with living a life of unbridled pleasure",yes
you probably take kids candy as well,yes
"Clearly, Obama, &amp; Obamacare have ruined this economy: U.S. jobless claims drop to 41-1/2-year low",yes
I love listening to babies giggle through the emotional Sciles scene from the last ep of,yes
Getting scammed on some MJ is pretty cool.. ,yes
Seriously my vacation is horrible.,yes
I just love people with shitty attitudes,yes
Good point. Didn't say I NEEDED more followers however. Just saying you'd think I'd have more since I'm so great.,yes
TAHM BRADY IS A FAHKIN AMERICAN HERO!!  HE DON'T NEED TAH CHEAT CUZ HE IS UNSTOPPABLE!!! IT'S A FAHKIN CONSPIRACY!!!!,yes
So is  retiring? Hmmm hadn't heard that,yes
What an amazing deal!  is SO generous with the prices of their nonstandard crap.,yes
This is their year!,yes
Love when u land and ur gate is still occupied.,yes
How dare you  ... Just let them hit,yes
"So, based on transcripts w/Brady's unequivocal denial under oath &amp;Goodell's ruling, should expect perjury charges?",yes
Bahahaha. OrIWillSlapPeople   sarcasm_only with repostapp,yes
"also, how DARE you read the teleprompter? It's like it's your job to report the news or something",yes
seeking to undermine a non-Tory MP Nick? How unlike you,yes
How dare those evil scouts embarrass ! They must be part of some sort of opposition plot! Probably a fake rule!,yes
"really kelvin you said playoffs?! As a baseball ""guru"" we call it the postseason. Pshhhh playoffs..",yes
You should tweet that to Jean just in case ;),yes
Didn't Carlos colon have the world title like 84 times?,yes
but your company knows a nice place for cheap that it recommends to consultants and the like...,yes
Oh certain hockey players are such mature upstanding gentlemen,yes
I'm so glad this thing isn't letting me save my work.,yes
Someone lend me a few million....I wanna make a movie as awesome as Sharknado.,yes
Today is a prime example of why Nashville is a dull city where no one wants to live. There's nothing to do tonight.,yes
As  would say he should have just had the Tommy John.,yes
Switching internet providers. The necessary work is scheduled for Thursday pm. We just got cut off. Great job .,yes
This preacher seems nice.,yes
Can't wait to give a speech later in public speaking,yes
"Yeah, it's better to degrade and humiliate your spouse off camera, like he did.",yes
"Sorry, spelling error. I meant Amurica, aka U.S. which is part of America  ?",yes
A Friday night match at  for  in Round 23. That'll be fun to get to.,yes
Oh no I don't know how I'm going to cope........   ,yes
I wonder why Jacob Butterfield didn't want to play for us?!?,yes
and the first roll of our d&amp;d game is a 2. thank goodness for my +3 modifier.,yes
Antichrist Pervert!,yes
What a shocker,yes
Has anyone ever really seen an **angry** Canadian?? Maybe not since social media...,yes
Ban Condom Ads and slutty women on television because who needs sex education? Bad for our culture,yes
Sarcasm is such a beautiful thing...it really brings people together,yes
I see ITV is upping it's game with,yes
"Great offers on at the Ings store, Hull. The entire Pepsi range had this offer on. Might have to get 2",yes
"Look at all these dog-aggressive pit bulls... Zorra, Lexy, and Jackson are all available for…",yes
Standard.,yes
"Hey - Carlos Gomez is causing problems in Houston too . . . well, there's a surprise.",yes
sounding like a man is soo attractive -_-,yes
hey just wanted to say thanks @ puberty for letting me be apart of the itty bitty fucking titty committee luv it,yes
I hate ukeleles too,yes
"Also, driving to Devon via Camberley for a meeting is going to do my back the world of good",yes
"“: : Use  or ? Make sure driver is registered in "" More Govt. Good.",yes
why you so mad at Shelly?,yes
RT : Thanks  &amp; !,yes
Another INT by Wilson... Time to pull him!,yes
Miley started performing and I stopped watching. Thanks for a good show mtv.,yes
"It's not Halloween there is no need to wear that ugly mask...oh, wait that's your face.",yes
"think his ""tone"" needs a lot of powder and concealer. He has a very red undertone.",yes
I  Snarky Keychains!,yes
woke up in the BEST mood ,yes
"Looks like Rory's ""Hall of Fame"" commercial is back this year for another",yes
3 people unfollowed me on Twitter last night. Please respect my privacy during this difficult time.,yes
Stopping your 10 grandkids in front of my apt to watch an ambulance responding to a call isn't as rude as a 7 yr old saying damn,yes
Man U has a brilliant defense.,yes
"Yeah, but so, so enlightening for them, right, ?  Seriously: it is hard work, but change is one at a time.",yes
Other football teams are available,yes
I just can't wait to get my wisdom teeth out today! Then be doped up for the next couple days!,yes
My timing is always impeccable...,yes
"TGIF , shite week at work. On a good note I've got to hand over £1200 for a new drive today",yes
That's a bummer.,yes
Perfect weather for flying!,yes
"well ok then, u make a valid point. I really agree with the post I forgot to type ps love u guys, great stuff",yes
Sorry but UR life doesn't matter UR not black,yes
do you know what  means,yes
"agree, I recommend  Sardana and Chaudhari for the post :P",yes
BAHAHA...this is just too perfect! ,yes
"What because their old they cannot be thieves? Shocker,  that's",yes
Google makes OSes?,yes
"Just submitted a full rough draft of my Chapter 3.... my reward? a few hours of sleep, hooray!  !",yes
Aw. That's sweet.,yes
Cena wins again. Yawn. What creative booking.,yes
We have another heat wave! Yay!,yes
I can definitely see why the  sacked Tooves. They were disgraceful tonight,yes
"but I was told he's a crazy dictator who muzzled scientists, destroyed the environment, and eats kittens!",yes
"Folks think it's revolutionary to call black women bitches, hoes and skanks. Let's name a holiday after NWA! Whoo hoo",yes
Woooowwww that's really fuckin craaazzzyyy,yes
Having a 24 marathon because I need more stress in my life.,yes
don't you guys just love being assigned readings due on the second day of class? ,yes
"Did you know that ""parking garage"" is actually Latin for ""smoking area?""",yes
[looks to the right] Oh no how would I ever cope with such a very serious threat...,yes
Ha ha. Lord knows it'll be on 20 times over the next few weeks. It's THAT good.,yes
Feeling your hip flexor pop as the gun goes off is awesome!,yes
Wisconsin had 2.878 million jobs right before the recession. We now have 2.882 million. Very impressive Scott Walker.,yes
Omg I love when people are out at the pool being loud and obnoxious!,yes
It would be a shocker if  bullpen blew this lead.,yes
Pitbulls are so vicious...  …,yes
Haha  totally owning,yes
taught me to keep warming up the tires with a white flag under caution - because you never know!,yes
And we're back. Yay.   …,yes
10 Reasons  People Are Smarter Than You  via,yes
Charlie Sheen to Donald Trump: Let Me Be Your Running Mate!  via,no
"But it's ""recovering!"" //Home ownership rates drop to 63.4%, lowest since 1967",yes
"Thank God, the Indians drawed with the Bangladeshi gentlemen in the one off test",yes
You are as handsome as you are smart   Trollng my past tweets..really?,yes
"BREAKING: Obama changes Mt. McKinley to Mt. Denali. Next change, Mt. Rushmore to Mt. Obama.",yes
time to run away from you then,yes
is a GodMan So How Can He !!,yes
I just love sarcasm.,yes
The majority of my Twitter conversations are one-sided.  Awesome.  Just awesome.  LOL.,yes
"Please continue to retweet, I love getting on here once every few days and seeing one name for 4 hours of scrolling",yes
Use it. Love it.,yes
don’t know how he has managed to adapt from La Liga - what with it being so slow compared to Premiership.,yes
"I agree, they are all friends till death.",yes
by the good American people of course.,yes
I drive way too fast to worry about cholesterol.,yes
Sweet subtle jab at the Patriots,yes
Seems  is as impressed with the commentators as everyone else on my timeline,yes
"If  says it, it must be true, right?",yes
sorry dude. No one told me you were in charge of other people's opinions. Didn't mean to disrespect your position,yes
Gotta love a girl with that much class.,yes
Josh Donaldson sucks! Two at bats without a hit.,yes
Cait's mom referencing thousands of year old text to explain her child. GOOD. That's not insane at all,yes
was created to confuse the . 󾮗󾮟󾮝 Credit (f) : Isidro Labrador Obeso .,yes
"Put that guy on waivers, he's awful",yes
Even better in the second test. smartcares  @ Mactan Cebu Airport,yes
The data in 409 said that Christianity was to blame. No other problems. Just Christianity.,yes
but what if it's Michael Conforto?,yes
knows the law better than Supreme Court or  PD,yes
Common test next week.. i am totally looking forward to it..,yes
You're 24 but you're hanging out with a senior in high school... That's cool.,yes
Today has been a real treat so far.,yes
Love being sick  ,yes
but but but HE DOESNT FOLLOW THE NUMBER 1 GUY!,yes
"Nope, not photoshopped. Thanks  for a stellar job.",yes
I was kidding... Next time I'll include the tag ;-),yes
"nah, you can stick whole alphabet in dropdown",yes
wait?! A race ending in a caution? No way!,yes
"Otw home from celebrating , my e-break snaps &amp; my dashboard lights up like a Xmas tree. ",yes
I  to  for renewing my faith in religion. You saved me maate. You saved me.,yes
Still no updates from  about the criminal . I'm sure it's normal administrative delay,yes
"TV looks soooo amazing tonight, I am going to have real trouble deciding what to watch",yes
After all of these fees I basically bought a 3rd ticket. SO CONVENIENT THO,yes
Great job  ur mobile app won't even load on a very important day in the markets. Fantastic job!,yes
I don't know because it's not on your username lol,yes
"Markus' first day back, the car breaks down and we have to get towed. Best first day back ever!",yes
so you basically wished yourself to die? Very smart people. You are so much better than us,yes
The demise of G+ - who knew that would happen!?,yes
That sarcasm ,no
"way too much excitement in that ballpark today, please ask the fans to contain themselves!!",yes
sorry. Forgot my tag,yes
Presidential candidates for 2020 US elections are already known:family members of Bush's and Clinton's and maybe Trump's too.,yes
Can't wait for the crowd of basics with Ugg boots and shorts to grace us with their presence.,yes
"Oh so those players are off the table, you say? Well this guy must be fired immediately for saying this.....",yes
We didn't steal anything at the school party  (i'm the guy on the left),yes
"my commute isn't quite miserable enough, can you please start roadworks outside my house to top it off?",yes
Yeah. He'd make a terrible James Bond.,yes
"God, Ricketts is SOOO BAD.",yes
Had a great time in skate 3 with  tonight all thanks to,yes
Had such a great time last night,yes
All lanes  blocked. Great signage,yes
Watching classic hind movie ..sense of old days,yes
Hot and dusty start today -2,yes
Wow you liked 10 of my pictures from a long time ago? That really attracts me and makes me want to talk to you :-),yes
"Just another day on the Isle of the Lost, singing about how bad we are.",yes
How great is this O Line.,yes
"Tut...tut...""blacks don't value education""",yes
And September is off to a roaring good start.,yes
Let's get today started.... Woo....,yes
How 'bout people who are sarcasm at the same time?,yes
Because nothing marks the start of the season quite like a crock pot... And it's 25% off!!,yes
maybe  would like exclusive rights to story,yes
"I mean it wasn't because he was fired and he blames these 2 people he shot, it was because he was racist",yes
Drinking  from a  paper cup.,yes
"great stroke story, but why on earth did the ""teacher"" try 2 discourage her project? Didn't adhere to the agenda?",yes
That's a shame. MSNBC bumps Al Sharpton to Sunday morning -,yes
might be the lowest form of wit but actually makes people brighter and more creative,yes
I can't wait to see the peer-reviewed papers debunking evolution.,no
It's a scientific breakthrough.,no
"Rule  in framework design: put the words ""modern, lightweight, simple, powerful"" into the name/description of said project.",yes
"Bureaucrats cut red tape, lengthwise.",yes
From my fav muppets.,yes
Andy Murray started so shit coz he was upset bout Danny Welbeck's injury as well,yes
"Gee, thanks for coming out.",yes
"sure, that's it",yes
20 minutes of having ' XPS 15 and I already had to re-install  10 :) Great ,yes
When people try to run off their misrable attitude on you &gt;&gt;&gt;&gt;,yes
So relieved. Sepp Blatter has endorsed the Russian World Cup. All is well in her world,yes
I just wanna thank whoever posted that pic of Oberyn vs The Mountain.,yes
How is that possible?  Obama and  said that guns are the problem.,yes
But he was a fat kid and no girls ever paid attention to him. He was owed.,yes
My favorite thing is when Luis opens my snaps but doesn't snap me back... ,yes
Do you know what I love? Explaining the same shit over and over again to the same people. THAT is what I love.,no
"Like Rachel and Jen, aren't they the same thing?",yes
Just got 15 emails about a Facebook conversation in which I was actively involved.Thanks for telling me.,yes
"Proof he can't relate to his players, he should just know what they like.",yes
Its such a hard task having to lounge on the sofa with my baby sleeping on me,yes
gpro is a recession proof stock. Didn't they teach you that on the $12k CFP course?,yes
Tonight I learned that Miley smokes pot,yes
it also would have been included in reservation system of country,yes
That shitty feeling we all love so much ,yes
par for the course eh? Grab a weapon and have at 'er I say!,yes
I'm so funny ,yes
Tribes having a team meeting yes because the last one worked so well,yes
"Really?!? How long did it take them to come to this ""mind-boggling"" realisation...Pffffffffff. YES I'm being sarcastic!",yes
Waited 30min in the scorching sun for the M9 and both went out of service. Thanks for the great service MTA!,yes
"Can you guess what these methods do? ""Meaningful Method Names""",yes
never texts me back. He's the real NVP.,yes
So glad he is a presidential candidate....,yes
"See, this is what happens when one forgets one's hashtags.",yes
TN govt sues Jayalalitha for commenting on Amma's ill health when she said she couldn't attend kalam's funeral,yes
Can't wait to hear big Sam on,yes
Now it feels more like a proper  game... Penalties galore!,yes
Disappointing PLL Finale and the news of Reyes on TXF.....what an amazing night,yes
damn them socialists for wanting there party back  how dare they,yes
Did you know tomorrow is  ...it sounds like last wks debate has provided lots of great material. Can't wait.,yes
I was thinking about wrapping the engine with it as well,no
It's a catastrophic success.,yes
"WOW,  looks awful!",yes
He doesnt care what you have to say,yes
I love listening to Cheerleader when I'm working out! Thanks 24 Hour Fitness!,yes
I'm just gonna stop tweeting just to make you happy ,yes
I'm baffled sometimes when I see nobody out on the course.,yes
"Past few nights have been rough. Can't get too hot or my body starts looking all splotchy. Thanks, allergic reaction.",yes
I have earned my  I am better thannnnn everyone,yes
"We saw all the kids before they went to school, now I can't wait for Facebook to show me them after!",yes
Love being sarcastic ,yes
I love the reactiveness of our current times.,yes
tun razak's friend.,yes
"No.  I'm being genuine, my lady.",yes
yeah thanks a lot  it's really helpful for those of us getting to work  when tram terminates 45 minutes away.,yes
quarterbacks get the girls? MIND BLOWN,yes
My favorite thing is when random psychos reply to me and argue things I never said.,yes
Great running weather,yes
I think she still has too much clothing.,yes
"Remember, kids,  is more boring and predictable than .",yes
But all I really want is the one with the black panther,yes
"So I guess that's that, nice work Terry Ryan, you really put together some nice trade deals.",yes
"Good to see Cris Carter has essentially no repercussions from his ""fall guy"" advice.",yes
'Some People Is So Touching ',yes
just said that it was a good idea to wear a sweatsuit tonight. Lol!,yes
oh pls I  to,yes
Another fine example of cost cutting,yes
"2 mothers, no father. Or, 2 dads, no mother. Makes total sense, right?",yes
Really? She destroyed evidence requested of her by an ongoing FBI investigation! Great reporting CNN!,yes
U know your day is great when you are having diarrhoea for days and u have a bad cough ,yes
Why does  have the WORST scheduling? I enjoy having 5 hrs between classes and my one day off taken away,yes
"Colour me surprised. ""NDP Open To Coalition Government With Liberals To Take Down Tories""",yes
OMG! I'm still in shock over those crazy chicks that took my joke to Audrey seriously! Wow-,yes
Todd's ratings sucked on Rundown and MTP so now replace Ed with Todd who's a numbers guy? Brilliant!,yes
HSC trials start today and I'm very excited ,yes
Fat people have the best diet advice.,yes
Of course Obama will speak at the funeral. Real leaders see division and act quickly to promote peace and unity.,yes
"wow, thank you for this important news update- ALERT THE WORLD!  She got her ear pierced wearing a BRA",yes
My degree of depends on your degree of stupidity,yes
"So I really need to put the now? Christ, man, read the tweet as intended!",yes
"Super excited that the UK picked nothing, but the best and brightest from the USA to represent us on",yes
So we drop to their level &amp; do the same thing to others makes sense,yes
"You're right.we just follow what we are taught blindly,and never ask questions or seek answers.",yes
but but it is going to snow somewhere this winter!,yes
"Wow,  I bet the rest of the country is loving this exciting   vs  game on . Holy Cow.",yes
""":  Thank you dear sister for your kind words.:D . You look ."" I got your sarcasm!",yes
Refuse to watch  100m final! Can't support a sport which is not racially representative!,yes
"Good morning! I wake up with a toothache,it's going to be a fun day",yes
That Fister trade just keeps on paying dividends,yes
That's awesome! I just saw a taxicab driver leaving the pot dispensary.,yes
you foregot the part,yes
It's shocking that they rebuilt white New Orleans before black New Orleans when black New Orleans was the majority. smh.,yes
Really have a desire to put in a full day's work on the job since the boss said most of it doesn't matter one bit.,yes
This is how  the new monk tier looks.,yes
Will western powers demand the  drone is returned unharmed? Will they condemn this 'terrorist' act?,yes
Please please PLEASE repost that video of Jeff Bridges acting about America. I missed it the first 200 times it was shared.,yes
How dare you use logic?!?!?!?,yes
Thx 4 the RT!:) It's nice to know somebody cares:) (not about the whole caring thing:),yes
"hey man, I too am addicted to making shit up and belligerently defending my integrity",yes
"Not sure what to make of . Guy's innocent until proven guilty, and once again the internet's response has been calm.",yes
Really? This is surprising.,yes
"Not suspicious at all, Six...",yes
why would they? They are an awesome team!,yes
because that's what we need.,yes
Another  today in West . M2.6 near Ft. Stockton  Not much  out there,yes
"She's obviously qualified for office, then.",yes
Life with a teen.  It's all my fault.  As it should be.,yes
"and also watchin porn wen parliament is in session is ""not"" public indecency :P",yes
there seems to be ZERO bias in this tweet,yes
I was making a joke. Should have tagged it or something.,yes
"No they can't, but  might",yes
No shit.... REALLY?!,yes
"Macy knows my address now. I hope she doesn't come visit me. I SAID, I REALLY HOPE THAT DOESNT HAPPEN I MEAN IT WOULD BE THE WORST",yes
Now that he signed we can calmly bench him or play at LW.,yes
If  existed during India's independent struggle!    ;),yes
"Wow, Ryback won, I'm so shocked.",yes
: But ... football.,yes
Oh hubby will be pleased,yes
Costume sketch for The Life Saver That Is Sarcasm!     …,yes
@ Manchester city…,yes
Not in Mt. Zion though?? They never do anything over there.,yes
I use because beating the shit out  of people is ilegal,yes
oh I know. And it looks like they're gonna come back and win this one too. Just like they did against the D-Backs,yes
Bills oh how I love paying em.,yes
"Oh good, I was hoping it'd be super hot again today   …",yes
"You know what doesn't really work on the internet, but people still try to use it all the time and it's annoying as fuck!?",yes
What a great match,yes
"4 all Ireland's, 9 Munster, 3 all stars and a player of the year but your probably right!!!!",yes
naturally wanting segregation from a group of people because of their race doesnt make you a racist,yes
I sure am glad the Dodgers addressed their bullpen issues at the trade deadline!,yes
"Women-only carriages? So instead of addressing the source of sexual assults, we segregate? Gold star",yes
Thanks  for giving us a memorable game    …,yes
Jose says he does not want to talk about players from other clubs,no
Shocker. The  open the game with a power run. Completely out of character for Harbaugh.,yes
I'm a little annoyed there isn't more news coverage of Zayn and Perrie's break up!,yes
Going to have to wake up three hours earlier tomorrow to do the whole school thing. I'm sure that won't be horrific at all,yes
"The world needs more of these bequiffed, bearded guys doing selfie videos with 'humorous' outcomes. I just can't get enough of them",yes
Being left handed is a choice.  And a mark of Satan.  You will burn in hell.,yes
"Oh good, it's nice to seel that Fox's slapped together ""We Don't Want to Lose the Rights"" piece of a movie will win the box office.",yes
The fact that  is live tweeting  is amusing and terrifying,yes
Ready to be entertained!!!!!!,yes
First Class at Csun  starting at 8 am,yes
That WKU offense sure is something!!,yes
I feel like stolen  are a seasoned staple of our city (so proud),yes
Oh woe is me....poor Shelli,yes
"Skip Bayless is just a humble, modest observer",yes
I know mate.......,yes
"Yes, teamwork is quite the obvious method of... cheating.",yes
Job hunting is the best,yes
"Just got my GCSE results: three Bs, three Cs, one D, one E and an undetermined physics result. Thanks  great job",yes
Better than Mega Man Soccer?!,yes
"Wow, Toronto. Are the ' minor league affiliates going to be able to field teams, or forced to forfeit the rest of the yr?",yes
All of you who are whining about who was selected as a starting QB must have it all together,yes
B'cos detention camps are the only solution for people with no country or home to go to......,yes
"Everybody is mad about the finish at , I am just mad Sting wasn't there.",yes
Excellent fightback by the Aussies to take the game into the third day.,yes
im real glad they changed the schedule and moved the Mario 3 race to a time when I won't be home,yes
"Well you know, he is making the run and tackle.. so yeah it's his fault! Lol",yes
follows people to get her name out there,yes
""": What it looks like when you drink water -  so what does it look like when you drink beer ?",yes
dang it grim I really wanted one of those toys.,yes
So Tiger Woods didn't make the cut at the  and the golf world hasn't collapsed??? I'm absolutely shocked,yes
I'm sure he will get snatched up and be on a major league roster immediately,yes
So there's this new invention called canned foods. Keep throwing away my fresh produce but THIS IS GENIUS,yes
how can they harvest body parts from clumps of cells? they are babies!,yes
"CLEARLY this guy is missing some names, but it's still a good article, I guess.",yes
"Yeah, because is always *so* obvious even without a hashtag.",yes
So I guess to avoid  attention ... murder 1 at a time ... the multiple shootings gathers too much attention.,yes
Hallelujah!!!!Gibbs will live! Such a relief!,yes
Hope we get to drop those 600k bombs on Syria .. just makes so much sense.,yes
 @ G Town,yes
Thank you for taking the time to answer my texts... Means a lot,yes
Smile SelfPee  All for a,yes
"bro, Lions' lives matter, too. Don't question it.",yes
"exactly, nothing but trouble with the PED's and the kitten punching such a nightmare. ",yes
HOLD THE PHONE. A POP STAR? TRYING TO MAKE MONEY?  you capitalist monster..,yes
Stuck in the  after such a long long time.  I had truly missed u. Thank you  for the sweet nostalgia,yes
because of all the children that got hit. ,yes
"hey . @ . , thanks for NOT having ANY detour signs during parking renov, loved being late to the movie",yes
Locked out the car... Stuck at Walgreens.. Such a wonderful combination... ,yes
