Tweet,Sarcasm,word_tokens,char_tokens,sentence_tokens,subword_tokens,lemmatized_tweet
a southern pride advocate but of course it has nothing to do with race,yes,"['a', 'southern', 'pride', 'advocate', 'but', 'of', 'course', 'it', 'has', 'nothing', 'to', 'do', 'with', 'race']","['a', ' ', 's', 'o', 'u', 't', 'h', 'e', 'r', 'n', ' ', 'p', 'r', 'i', 'd', 'e', ' ', 'a', 'd', 'v', 'o', 'c', 'a', 't', 'e', ' ', 'b', 'u', 't', ' ', 'o', 'f', ' ', 'c', 'o', 'u', 'r', 's', 'e', ' ', 'i', 't', ' ', 'h', 'a', 's', ' ', 'n', 'o', 't', 'h', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'd', 'o', ' ', 'w', 'i', 't', 'h', ' ', 'r', 'a', 'c', 'e']",['a southern pride advocate but of course it has nothing to do with race'],"['a', 'southern', 'pride', 'advocate', 'but', 'of', 'course', 'it', 'has', 'nothing', 'to', 'do', 'with', 'race']",a southern pride advocate but of course it ha nothing to do with race
So nice not hearing any rumors that the  are not in any upcoming deals!,yes,"['so', 'nice', 'not', 'hearing', 'any', 'rumors', 'that', 'the', 'are', 'not', 'in', 'any', 'upcoming', 'deals', '!']","['S', 'o', ' ', 'n', 'i', 'c', 'e', ' ', 'n', 'o', 't', ' ', 'h', 'e', 'a', 'r', 'i', 'n', 'g', ' ', 'a', 'n', 'y', ' ', 'r', 'u', 'm', 'o', 'r', 's', ' ', 't', 'h', 'a', 't', ' ', 't', 'h', 'e', ' ', ' ', 'a', 'r', 'e', ' ', 'n', 'o', 't', ' ', 'i', 'n', ' ', 'a', 'n', 'y', ' ', 'u', 'p', 'c', 'o', 'm', 'i', 'n', 'g', ' ', 'd', 'e', 'a', 'l', 's', '!']",['So nice not hearing any rumors that the  are not in any upcoming deals!'],"['so', 'nice', 'not', 'hearing', 'any', 'rumors', 'that', 'the', 'are', 'not', 'in', 'any', 'upcoming', 'deals', '!']",So nice not hearing any rumor that the are not in any upcoming deal !
"We should divide illegals into two lines one for murderers, one for rapists.",yes,"['we', 'should', 'divide', 'illegal', '##s', 'into', 'two', 'lines', 'one', 'for', 'murderers', ',', 'one', 'for', 'rap', '##ists', '.']","['W', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'd', 'i', 'v', 'i', 'd', 'e', ' ', 'i', 'l', 'l', 'e', 'g', 'a', 'l', 's', ' ', 'i', 'n', 't', 'o', ' ', 't', 'w', 'o', ' ', 'l', 'i', 'n', 'e', 's', ' ', 'o', 'n', 'e', ' ', 'f', 'o', 'r', ' ', 'm', 'u', 'r', 'd', 'e', 'r', 'e', 'r', 's', ',', ' ', 'o', 'n', 'e', ' ', 'f', 'o', 'r', ' ', 'r', 'a', 'p', 'i', 's', 't', 's', '.']","['We should divide illegals into two lines one for murderers, one for rapists.']","['we', 'should', 'divide', 'illegal', '##s', 'into', 'two', 'lines', 'one', 'for', 'murderers', ',', 'one', 'for', 'rap', '##ists', '.']","We should divide illegals into two line one for murderer , one for rapist ."
does not even look like that great of a view.,yes,"['does', 'not', 'even', 'look', 'like', 'that', 'great', 'of', 'a', 'view', '.']","['d', 'o', 'e', 's', ' ', 'n', 'o', 't', ' ', 'e', 'v', 'e', 'n', ' ', 'l', 'o', 'o', 'k', ' ', 'l', 'i', 'k', 'e', ' ', 't', 'h', 'a', 't', ' ', 'g', 'r', 'e', 'a', 't', ' ', 'o', 'f', ' ', 'a', ' ', 'v', 'i', 'e', 'w', '.']",['does not even look like that great of a view.'],"['does', 'not', 'even', 'look', 'like', 'that', 'great', 'of', 'a', 'view', '.']",doe not even look like that great of a view .
Mondays are always dreadful. Why are Fridays so far away from Monday!,yes,"['mondays', 'are', 'always', 'dreadful', '.', 'why', 'are', 'fridays', 'so', 'far', 'away', 'from', 'monday', '!']","['M', 'o', 'n', 'd', 'a', 'y', 's', ' ', 'a', 'r', 'e', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 'd', 'r', 'e', 'a', 'd', 'f', 'u', 'l', '.', ' ', 'W', 'h', 'y', ' ', 'a', 'r', 'e', ' ', 'F', 'r', 'i', 'd', 'a', 'y', 's', ' ', 's', 'o', ' ', 'f', 'a', 'r', ' ', 'a', 'w', 'a', 'y', ' ', 'f', 'r', 'o', 'm', ' ', 'M', 'o', 'n', 'd', 'a', 'y', '!']","['Mondays are always dreadful.', 'Why are Fridays so far away from Monday!']","['mondays', 'are', 'always', 'dreadful', '.', 'why', 'are', 'fridays', 'so', 'far', 'away', 'from', 'monday', '!']",Mondays are always dreadful . Why are Fridays so far away from Monday !
If you do not find it funny esp coming from  you do not get his,yes,"['if', 'you', 'do', 'not', 'find', 'it', 'funny', 'es', '##p', 'coming', 'from', 'you', 'do', 'not', 'get', 'his']","['I', 'f', ' ', 'y', 'o', 'u', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 'f', 'i', 'n', 'd', ' ', 'i', 't', ' ', 'f', 'u', 'n', 'n', 'y', ' ', 'e', 's', 'p', ' ', 'c', 'o', 'm', 'i', 'n', 'g', ' ', 'f', 'r', 'o', 'm', ' ', ' ', 'y', 'o', 'u', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 'g', 'e', 't', ' ', 'h', 'i', 's']",['If you do not find it funny esp coming from  you do not get his'],"['if', 'you', 'do', 'not', 'find', 'it', 'funny', 'es', '##p', 'coming', 'from', 'you', 'do', 'not', 'get', 'his']",If you do not find it funny esp coming from you do not get his
is a wonderful thing,yes,"['is', 'a', 'wonderful', 'thing']","['i', 's', ' ', 'a', ' ', 'w', 'o', 'n', 'd', 'e', 'r', 'f', 'u', 'l', ' ', 't', 'h', 'i', 'n', 'g']",['is a wonderful thing'],"['is', 'a', 'wonderful', 'thing']",is a wonderful thing
I just love when I am asked my opinion and then told I am wrong and just trying to argue.,yes,"['i', 'just', 'love', 'when', 'i', 'am', 'asked', 'my', 'opinion', 'and', 'then', 'told', 'i', 'am', 'wrong', 'and', 'just', 'trying', 'to', 'argue', '.']","['I', ' ', 'j', 'u', 's', 't', ' ', 'l', 'o', 'v', 'e', ' ', 'w', 'h', 'e', 'n', ' ', 'I', ' ', 'a', 'm', ' ', 'a', 's', 'k', 'e', 'd', ' ', 'm', 'y', ' ', 'o', 'p', 'i', 'n', 'i', 'o', 'n', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', 'n', ' ', 't', 'o', 'l', 'd', ' ', 'I', ' ', 'a', 'm', ' ', 'w', 'r', 'o', 'n', 'g', ' ', 'a', 'n', 'd', ' ', 'j', 'u', 's', 't', ' ', 't', 'r', 'y', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'a', 'r', 'g', 'u', 'e', '.']",['I just love when I am asked my opinion and then told I am wrong and just trying to argue.'],"['i', 'just', 'love', 'when', 'i', 'am', 'asked', 'my', 'opinion', 'and', 'then', 'told', 'i', 'am', 'wrong', 'and', 'just', 'trying', 'to', 'argue', '.']",I just love when I am asked my opinion and then told I am wrong and just trying to argue .
New York,yes,"['new', 'york']","['N', 'e', 'w', ' ', 'Y', 'o', 'r', 'k']",['New York'],"['new', 'york']",New York
"So, they finally found out! Hun... For me, healthy brain is way important than being rude",yes,"['so', ',', 'they', 'finally', 'found', 'out', '!', 'hu', '##n', '.', '.', '.', 'for', 'me', ',', 'healthy', 'brain', 'is', 'way', 'important', 'than', 'being', 'rude']","['S', 'o', ',', ' ', 't', 'h', 'e', 'y', ' ', 'f', 'i', 'n', 'a', 'l', 'l', 'y', ' ', 'f', 'o', 'u', 'n', 'd', ' ', 'o', 'u', 't', '!', ' ', 'H', 'u', 'n', '.', '.', '.', ' ', 'F', 'o', 'r', ' ', 'm', 'e', ',', ' ', 'h', 'e', 'a', 'l', 't', 'h', 'y', ' ', 'b', 'r', 'a', 'i', 'n', ' ', 'i', 's', ' ', 'w', 'a', 'y', ' ', 'i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't', ' ', 't', 'h', 'a', 'n', ' ', 'b', 'e', 'i', 'n', 'g', ' ', 'r', 'u', 'd', 'e']","['So, they finally found out!', 'Hun... For me, healthy brain is way important than being rude']","['so', ',', 'they', 'finally', 'found', 'out', '!', 'hu', '##n', '.', '.', '.', 'for', 'me', ',', 'healthy', 'brain', 'is', 'way', 'important', 'than', 'being', 'rude']","So , they finally found out ! Hun ... For me , healthy brain is way important than being rude"
I love all the people that text me just because,yes,"['i', 'love', 'all', 'the', 'people', 'that', 'text', 'me', 'just', 'because']","['I', ' ', 'l', 'o', 'v', 'e', ' ', 'a', 'l', 'l', ' ', 't', 'h', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 't', 'h', 'a', 't', ' ', 't', 'e', 'x', 't', ' ', 'm', 'e', ' ', 'j', 'u', 's', 't', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e']",['I love all the people that text me just because'],"['i', 'love', 'all', 'the', 'people', 'that', 'text', 'me', 'just', 'because']",I love all the people that text me just because
you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie winking_face_with_tongue,yes,"['you', 'have', 'no', 'right', 'to', 'dislike', 'the', 'biggest', 'movie', 'of', 'india', 'ba', '##ahu', '##bal', '##i', 'and', 'like', 'any', 'other', 'small', 'budget', 'movie', 'wink', '##ing', '_', 'face', '_', 'with', '_', 'tongue']","['y', 'o', 'u', ' ', 'h', 'a', 'v', 'e', ' ', 'n', 'o', ' ', 'r', 'i', 'g', 'h', 't', ' ', 't', 'o', ' ', 'd', 'i', 's', 'l', 'i', 'k', 'e', ' ', 't', 'h', 'e', ' ', 'b', 'i', 'g', 'g', 'e', 's', 't', ' ', 'm', 'o', 'v', 'i', 'e', ' ', 'o', 'f', ' ', 'I', 'n', 'd', 'i', 'a', ' ', 'B', 'a', 'a', 'h', 'u', 'b', 'a', 'l', 'i', ' ', 'a', 'n', 'd', ' ', 'l', 'i', 'k', 'e', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 's', 'm', 'a', 'l', 'l', ' ', 'b', 'u', 'd', 'g', 'e', 't', ' ', 'm', 'o', 'v', 'i', 'e', ' ', 'w', 'i', 'n', 'k', 'i', 'n', 'g', '_', 'f', 'a', 'c', 'e', '_', 'w', 'i', 't', 'h', '_', 't', 'o', 'n', 'g', 'u', 'e']",['you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie winking_face_with_tongue'],"['you', 'have', 'no', 'right', 'to', 'dislike', 'the', 'biggest', 'movie', 'of', 'india', 'ba', '##ahu', '##bal', '##i', 'and', 'like', 'any', 'other', 'small', 'budget', 'movie', 'wink', '##ing', '_', 'face', '_', 'with', '_', 'tongue']",you have no right to dislike the biggest movie of India Baahubali and like any other small budget movie winking_face_with_tongue
According to buzzfeed I am really  Who knew! face_with_tears_of_joy,yes,"['according', 'to', 'buzz', '##fe', '##ed', 'i', 'am', 'really', 'who', 'knew', '!', 'face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']","['A', 'c', 'c', 'o', 'r', 'd', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'b', 'u', 'z', 'z', 'f', 'e', 'e', 'd', ' ', 'I', ' ', 'a', 'm', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', ' ', 'W', 'h', 'o', ' ', 'k', 'n', 'e', 'w', '!', ' ', 'f', 'a', 'c', 'e', '_', 'w', 'i', 't', 'h', '_', 't', 'e', 'a', 'r', 's', '_', 'o', 'f', '_', 'j', 'o', 'y']","['According to buzzfeed I am really  Who knew!', 'face_with_tears_of_joy']","['according', 'to', 'buzz', '##fe', '##ed', 'i', 'am', 'really', 'who', 'knew', '!', 'face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']",According to buzzfeed I am really Who knew ! face_with_tears_of_joy
Its like they think they can simply buy off elected officials.,yes,"['its', 'like', 'they', 'think', 'they', 'can', 'simply', 'buy', 'off', 'elected', 'officials', '.']","['I', 't', 's', ' ', 'l', 'i', 'k', 'e', ' ', 't', 'h', 'e', 'y', ' ', 't', 'h', 'i', 'n', 'k', ' ', 't', 'h', 'e', 'y', ' ', 'c', 'a', 'n', ' ', 's', 'i', 'm', 'p', 'l', 'y', ' ', 'b', 'u', 'y', ' ', 'o', 'f', 'f', ' ', 'e', 'l', 'e', 'c', 't', 'e', 'd', ' ', 'o', 'f', 'f', 'i', 'c', 'i', 'a', 'l', 's', '.']",['Its like they think they can simply buy off elected officials.'],"['its', 'like', 'they', 'think', 'they', 'can', 'simply', 'buy', 'off', 'elected', 'officials', '.']",Its like they think they can simply buy off elected official .
that really is just like outer space,yes,"['that', 'really', 'is', 'just', 'like', 'outer', 'space']","['t', 'h', 'a', 't', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'i', 's', ' ', 'j', 'u', 's', 't', ' ', 'l', 'i', 'k', 'e', ' ', 'o', 'u', 't', 'e', 'r', ' ', 's', 'p', 'a', 'c', 'e']",['that really is just like outer space'],"['that', 'really', 'is', 'just', 'like', 'outer', 'space']",that really is just like outer space
How the hell did he get to the gate And he was taken alive,yes,"['how', 'the', 'hell', 'did', 'he', 'get', 'to', 'the', 'gate', 'and', 'he', 'was', 'taken', 'alive']","['H', 'o', 'w', ' ', 't', 'h', 'e', ' ', 'h', 'e', 'l', 'l', ' ', 'd', 'i', 'd', ' ', 'h', 'e', ' ', 'g', 'e', 't', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'g', 'a', 't', 'e', ' ', 'A', 'n', 'd', ' ', 'h', 'e', ' ', 'w', 'a', 's', ' ', 't', 'a', 'k', 'e', 'n', ' ', 'a', 'l', 'i', 'v', 'e']",['How the hell did he get to the gate And he was taken alive'],"['how', 'the', 'hell', 'did', 'he', 'get', 'to', 'the', 'gate', 'and', 'he', 'was', 'taken', 'alive']",How the hell did he get to the gate And he wa taken alive
Choke traffic!! HAPPY HUMP DAY EVERYBODY!!!  H1 Westbound,yes,"['choke', 'traffic', '!', '!', 'happy', 'hum', '##p', 'day', 'everybody', '!', '!', '!', 'h', '##1', 'westbound']","['C', 'h', 'o', 'k', 'e', ' ', 't', 'r', 'a', 'f', 'f', 'i', 'c', '!', '!', ' ', 'H', 'A', 'P', 'P', 'Y', ' ', 'H', 'U', 'M', 'P', ' ', 'D', 'A', 'Y', ' ', 'E', 'V', 'E', 'R', 'Y', 'B', 'O', 'D', 'Y', '!', '!', '!', ' ', ' ', 'H', '1', ' ', 'W', 'e', 's', 't', 'b', 'o', 'u', 'n', 'd']","['Choke traffic!!', 'HAPPY HUMP DAY EVERYBODY!!!', 'H1 Westbound']","['choke', 'traffic', '!', '!', 'happy', 'hum', '##p', 'day', 'everybody', '!', '!', '!', 'h', '##1', 'westbound']",Choke traffic ! ! HAPPY HUMP DAY EVERYBODY ! ! ! H1 Westbound
Crackers and water !,yes,"['crack', '##ers', 'and', 'water', '!']","['C', 'r', 'a', 'c', 'k', 'e', 'r', 's', ' ', 'a', 'n', 'd', ' ', 'w', 'a', 't', 'e', 'r', ' ', '!']",['Crackers and water !'],"['crack', '##ers', 'and', 'water', '!']",Crackers and water !
You mean she was his slave mistress,yes,"['you', 'mean', 'she', 'was', 'his', 'slave', 'mistress']","['Y', 'o', 'u', ' ', 'm', 'e', 'a', 'n', ' ', 's', 'h', 'e', ' ', 'w', 'a', 's', ' ', 'h', 'i', 's', ' ', 's', 'l', 'a', 'v', 'e', ' ', 'm', 'i', 's', 't', 'r', 'e', 's', 's']",['You mean she was his slave mistress'],"['you', 'mean', 'she', 'was', 'his', 'slave', 'mistress']",You mean she wa his slave mistress
"Thank goodness this has been settled, we all can FINALLY get on wour regularly schdd lives!",yes,"['thank', 'goodness', 'this', 'has', 'been', 'settled', ',', 'we', 'all', 'can', 'finally', 'get', 'on', 'wo', '##ur', 'regularly', 'sc', '##hd', '##d', 'lives', '!']","['T', 'h', 'a', 'n', 'k', ' ', 'g', 'o', 'o', 'd', 'n', 'e', 's', 's', ' ', 't', 'h', 'i', 's', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 's', 'e', 't', 't', 'l', 'e', 'd', ',', ' ', 'w', 'e', ' ', 'a', 'l', 'l', ' ', 'c', 'a', 'n', ' ', 'F', 'I', 'N', 'A', 'L', 'L', 'Y', ' ', 'g', 'e', 't', ' ', 'o', 'n', ' ', 'w', 'o', 'u', 'r', ' ', 'r', 'e', 'g', 'u', 'l', 'a', 'r', 'l', 'y', ' ', 's', 'c', 'h', 'd', 'd', ' ', 'l', 'i', 'v', 'e', 's', '!']","['Thank goodness this has been settled, we all can FINALLY get on wour regularly schdd lives!']","['thank', 'goodness', 'this', 'has', 'been', 'settled', ',', 'we', 'all', 'can', 'finally', 'get', 'on', 'wo', '##ur', 'regularly', 'sc', '##hd', '##d', 'lives', '!']","Thank goodness this ha been settled , we all can FINALLY get on wour regularly schdd life !"
I agree but most American do not give two shits about what is going on.,yes,"['i', 'agree', 'but', 'most', 'american', 'do', 'not', 'give', 'two', 'shit', '##s', 'about', 'what', 'is', 'going', 'on', '.']","['I', ' ', 'a', 'g', 'r', 'e', 'e', ' ', 'b', 'u', 't', ' ', 'm', 'o', 's', 't', ' ', 'A', 'm', 'e', 'r', 'i', 'c', 'a', 'n', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 'g', 'i', 'v', 'e', ' ', 't', 'w', 'o', ' ', 's', 'h', 'i', 't', 's', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'w', 'h', 'a', 't', ' ', 'i', 's', ' ', 'g', 'o', 'i', 'n', 'g', ' ', 'o', 'n', '.']",['I agree but most American do not give two shits about what is going on.'],"['i', 'agree', 'but', 'most', 'american', 'do', 'not', 'give', 'two', 'shit', '##s', 'about', 'what', 'is', 'going', 'on', '.']",I agree but most American do not give two shit about what is going on .
R we seeing retaliation for trading for Chase Utley,yes,"['r', 'we', 'seeing', 'retaliation', 'for', 'trading', 'for', 'chase', 'ut', '##ley']","['R', ' ', 'w', 'e', ' ', 's', 'e', 'e', 'i', 'n', 'g', ' ', 'r', 'e', 't', 'a', 'l', 'i', 'a', 't', 'i', 'o', 'n', ' ', 'f', 'o', 'r', ' ', 't', 'r', 'a', 'd', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 'C', 'h', 'a', 's', 'e', ' ', 'U', 't', 'l', 'e', 'y']",['R we seeing retaliation for trading for Chase Utley'],"['r', 'we', 'seeing', 'retaliation', 'for', 'trading', 'for', 'chase', 'ut', '##ley']",R we seeing retaliation for trading for Chase Utley
is this a paid tweet ,yes,"['is', 'this', 'a', 'paid', 't', '##wee', '##t']","['i', 's', ' ', 't', 'h', 'i', 's', ' ', 'a', ' ', 'p', 'a', 'i', 'd', ' ', 't', 'w', 'e', 'e', 't', ' ']",['is this a paid tweet'],"['is', 'this', 'a', 'paid', 't', '##wee', '##t']",is this a paid tweet
