Tweet,Sarcasm,tokens
How the hell did he get to the gate And he was taken alive,yes,"['How', 'the', 'hell', 'did', 'he', 'get', 'to', 'the', 'gate', 'And', 'he', 'was', 'taken', 'alive']"
Choke traffic!! HAPPY HUMP DAY EVERYBODY!!!  H1 Westbound,yes,"['Choke', 'traffic', '!', '!', 'HAPPY', 'HUMP', 'DAY', 'EVERYBODY', '!', '!', '!', 'H1', 'Westbound']"
Crackers and water !,yes,"['Crackers', 'and', 'water', '!']"
You mean she was his slave mistress,yes,"['You', 'mean', 'she', 'was', 'his', 'slave', 'mistress']"
"Thank goodness this has been settled, we all can FINALLY get on wour regularly schdd lives!",yes,"['Thank', 'goodness', 'this', 'has', 'been', 'settled', ',', 'we', 'all', 'can', 'FINALLY', 'get', 'on', 'wour', 'regularly', 'schdd', 'lives', '!']"
I agree but most American do not give two shits about what is going on.,yes,"['I', 'agree', 'but', 'most', 'American', 'do', 'not', 'give', 'two', 'shits', 'about', 'what', 'is', 'going', 'on', '.']"
R we seeing retaliation for trading for Chase Utley,yes,"['R', 'we', 'seeing', 'retaliation', 'for', 'trading', 'for', 'Chase', 'Utley']"
is this a paid tweet ,yes,"['is', 'this', 'a', 'paid', 'tweet']"
Girls posses great logic ..,yes,"['Girls', 'posses', 'great', 'logic', '..']"
I think it is been a pretty good day so far.,yes,"['I', 'think', 'it', 'is', 'been', 'a', 'pretty', 'good', 'day', 'so', 'far', '.']"
Another racially diverse bear weekend promotion.,yes,"['Another', 'racially', 'diverse', 'bear', 'weekend', 'promotion', '.']"
what are you talking about Theyre only up 15 one thats not by much at all,yes,"['what', 'are', 'you', 'talking', 'about', 'Theyre', 'only', 'up', '15', 'one', 'thats', 'not', 'by', 'much', 'at', 'all']"
Yes... we must tolerate the intolerant...,yes,"['Yes', '...', 'we', 'must', 'tolerate', 'the', 'intolerant', '...']"
God must love stupid people  He made SO many,yes,"['God', 'must', 'love', 'stupid', 'people', 'He', 'made', 'SO', 'many']"
is redefining funny through her sublime performance in . Its a treat watching her.,yes,"['is', 'redefining', 'funny', 'through', 'her', 'sublime', 'performance', 'in', '.', 'Its', 'a', 'treat', 'watching', 'her', '.']"
"since white Americans did it, ipso facto a priori it cannot be terrorism",yes,"['since', 'white', 'Americans', 'did', 'it', ',', 'ipso', 'facto', 'a', 'priori', 'it', 'cannot', 'be', 'terrorism']"
Camp on Sunday.....what can be better than that,yes,"['Camp', 'on', 'Sunday', '...', 'what', 'can', 'be', 'better', 'than', 'that']"
thanks for sharing  ,yes,"['thanks', 'for', 'sharing']"
Oh no! You mean improving lives of many Chipotle employees means a slightly more expensive taco,yes,"['Oh', 'no', '!', 'You', 'mean', 'improving', 'lives', 'of', 'many', 'Chipotle', 'employees', 'means', 'a', 'slightly', 'more', 'expensive', 'taco']"
Hey I do not think you guys have sent me enough emails. Is there a mailing list I can sign up for,yes,"['Hey', 'I', 'do', 'not', 'think', 'you', 'guys', 'have', 'sent', 'me', 'enough', 'emails', '.', 'Is', 'there', 'a', 'mailing', 'list', 'I', 'can', 'sign', 'up', 'for']"
I am at the library and my phone has been dead for the majority of the day. This is the hell I live in.,yes,"['I', 'am', 'at', 'the', 'library', 'and', 'my', 'phone', 'has', 'been', 'dead', 'for', 'the', 'majority', 'of', 'the', 'day', '.', 'This', 'is', 'the', 'hell', 'I', 'live', 'in', '.']"
"I hate when I tell someone just how intelligent,sexy and amazing I think they are and then find out they do not understand",yes,"['I', 'hate', 'when', 'I', 'tell', 'someone', 'just', 'how', 'intelligent', ',', 'sexy', 'and', 'amazing', 'I', 'think', 'they', 'are', 'and', 'then', 'find', 'out', 'they', 'do', 'not', 'understand']"
"Corporate welfare fails again, we are absolutely shocked!",yes,"['Corporate', 'welfare', 'fails', 'again', ',', 'we', 'are', 'absolutely', 'shocked', '!']"
Jordys knee would be fine right now if the game was played at night as originally planned.,yes,"['Jordys', 'knee', 'would', 'be', 'fine', 'right', 'now', 'if', 'the', 'game', 'was', 'played', 'at', 'night', 'as', 'originally', 'planned', '.']"
Having the best day ever!,yes,"['Having', 'the', 'best', 'day', 'ever', '!']"
The Only Running I do Is LATE,yes,"['The', 'Only', 'Running', 'I', 'do', 'Is', 'LATE']"
Only 92 win to sweep series!!,yes,"['Only', '92', 'win', 'to', 'sweep', 'series', '!', '!']"
So when I first joined Twitter it was only because I was a part of some random I Love Vampires fan club. sigh those good old days,yes,"['So', 'when', 'I', 'first', 'joined', 'Twitter', 'it', 'was', 'only', 'because', 'I', 'was', 'a', 'part', 'of', 'some', 'random', 'I', 'Love', 'Vampires', 'fan', 'club', '.', 'sigh', 'those', 'good', 'old', 'days']"
Love this HD web broadcast of an important Pan Am sports finale.,yes,"['Love', 'this', 'HD', 'web', 'broadcast', 'of', 'an', 'important', 'Pan', 'Am', 'sports', 'finale', '.']"
"jr can scout talent, why bother having him on a talent show. facepalm",yes,"['jr', 'can', 'scout', 'talent', ',', 'why', 'bother', 'having', 'him', 'on', 'a', 'talent', 'show', '.', 'facepalm']"
"I know, I too was being",yes,"['I', 'know', ',', 'I', 'too', 'was', 'being']"
So sat at terminal 5 having a coffee with the bae   listing to some dope tunes on the radio........,yes,"['So', 'sat', 'at', 'terminal', '5', 'having', 'a', 'coffee', 'with', 'the', 'bae', 'listing', 'to', 'some', 'dope', 'tunes', 'on', 'the', 'radio', '...']"
AWWW FUCK CELTIC HAVE ONLY GOT THREE STRIKERS !! FUCCCCCKK AW NAW ! SOMEBODY HELP US !!,yes,"['AWWW', 'FUCK', 'CELTIC', 'HAVE', 'ONLY', 'GOT', 'THREE', 'STRIKERS', '!', '!', 'FUCCCCCKK', 'AW', 'NAW', '!', 'SOMEBODY', 'HELP', 'US', '!', '!']"
Gotta love the automatic response emails from State representatives!,yes,"['Gotta', 'love', 'the', 'automatic', 'response', 'emails', 'from', 'State', 'representatives', '!']"
tells me the Rockies are going to sweep this series. I appreciate that. I will not waste my time watching.,yes,"['tells', 'me', 'the', 'Rockies', 'are', 'going', 'to', 'sweep', 'this', 'series', '.', 'I', 'appreciate', 'that', '.', 'I', 'will', 'not', 'waste', 'my', 'time', 'watching', '.']"
If only the 10 year old had a gun too.  via,yes,"['If', 'only', 'the', '10', 'year', 'old', 'had', 'a', 'gun', 'too', '.', 'via']"
"Oh my God, Huckabee....Youre so hilarious...ha ha...ha.......ha.",yes,"['Oh', 'my', 'God', ',', 'Huckabee', '...', 'Youre', 'so', 'hilarious', '...', 'ha', 'ha', '...', 'ha', '...', 'ha', '.']"
Hindsight is 2020.,yes,"['Hindsight', 'is', '2020', '.']"
so glad I took the time to shower before work,yes,"['so', 'glad', 'I', 'took', 'the', 'time', 'to', 'shower', 'before', 'work']"
Thank you to everyone on snapchat for informing me that school starts tomorrow because I really did not have a clue,yes,"['Thank', 'you', 'to', 'everyone', 'on', 'snapchat', 'for', 'informing', 'me', 'that', 'school', 'starts', 'tomorrow', 'because', 'I', 'really', 'did', 'not', 'have', 'a', 'clue']"
RT   missed what exactly about McFarland,yes,"['RT', 'missed', 'what', 'exactly', 'about', 'McFarland']"
Yes,no,['Yes']
And the  experience just gets better and better she says with a face like thunder And I get to pay for it too,yes,"['And', 'the', 'experience', 'just', 'gets', 'better', 'and', 'better', 'she', 'says', 'with', 'a', 'face', 'like', 'thunder', 'And', 'I', 'get', 'to', 'pay', 'for', 'it', 'too']"
Whelp Samsung is deciding to bastardize their Note line for vanity.The S6 integrated battery is great,yes,"['Whelp', 'Samsung', 'is', 'deciding', 'to', 'bastardize', 'their', 'Note', 'line', 'for', 'vanity.The', 'S6', 'integrated', 'battery', 'is', 'great']"
LOL...was confused at 1st! Like wait...what Then I realize it was when I saw the drama!,yes,"['LOL', '...', 'was', 'confused', 'at', '1st', '!', 'Like', 'wait', '...', 'what', 'Then', 'I', 'realize', 'it', 'was', 'when', 'I', 'saw', 'the', 'drama', '!']"
oooh that was a good one.,yes,"['oooh', 'that', 'was', 'a', 'good', 'one', '.']"
"also, I think you misunderstood my tweet.",yes,"['also', ',', 'I', 'think', 'you', 'misunderstood', 'my', 'tweet', '.']"
No checks Czechs are welcome.,yes,"['No', 'checks', 'Czechs', 'are', 'welcome', '.']"
sell him he is shit,yes,"['sell', 'him', 'he', 'is', 'shit']"
My bad did I go to far with simpleton Should have stopped at brainwashed.,yes,"['My', 'bad', 'did', 'I', 'go', 'to', 'far', 'with', 'simpleton', 'Should', 'have', 'stopped', 'at', 'brainwashed', '.']"
But Hulk Hogan was Mr. Ts tag team partner in 1985. Proof he is not racist in any way!,yes,"['But', 'Hulk', 'Hogan', 'was', 'Mr', '.', 'Ts', 'tag', 'team', 'partner', 'in', '1985', '.', 'Proof', 'he', 'is', 'not', 'racist', 'in', 'any', 'way', '!']"
so I was pretty close to being done and then  failed to install. Back to square 1 with 2.7gb download... Great.,yes,"['so', 'I', 'was', 'pretty', 'close', 'to', 'being', 'done', 'and', 'then', 'failed', 'to', 'install', '.', 'Back', 'to', 'square', '1', 'with', '2.7', 'gb', 'download', '...', 'Great', '.']"
"Well, there is only one solution. If seagulls are as dangerous as the media suggests it is time to send in the SAS",yes,"['Well', ',', 'there', 'is', 'only', 'one', 'solution', '.', 'If', 'seagulls', 'are', 'as', 'dangerous', 'as', 'the', 'media', 'suggests', 'it', 'is', 'time', 'to', 'send', 'in', 'the', 'SAS']"
They say write what U kno so...  JK! Wish I could say I was guilty of this but my life is almost too perfect!,yes,"['They', 'say', 'write', 'what', 'U', 'kno', 'so', '...', 'JK', '!', 'Wish', 'I', 'could', 'say', 'I', 'was', 'guilty', 'of', 'this', 'but', 'my', 'life', 'is', 'almost', 'too', 'perfect', '!']"
Cant sleep! Thinking way too much!,yes,"['Cant', 'sleep', '!', 'Thinking', 'way', 'too', 'much', '!']"
An automated system set up by the council to make things easier does not actually work. I am shocked to my very core,yes,"['An', 'automated', 'system', 'set', 'up', 'by', 'the', 'council', 'to', 'make', 'things', 'easier', 'does', 'not', 'actually', 'work', '.', 'I', 'am', 'shocked', 'to', 'my', 'very', 'core']"
acche din for both China and India,yes,"['acche', 'din', 'for', 'both', 'China', 'and', 'India']"
WOW!!! Can totally see the difference!,yes,"['WOW', '!', '!', '!', 'Can', 'totally', 'see', 'the', 'difference', '!']"
"Accept that some days you are the pigeon, and some days you are the statue.  Dilbert",yes,"['Accept', 'that', 'some', 'days', 'you', 'are', 'the', 'pigeon', ',', 'and', 'some', 'days', 'you', 'are', 'the', 'statue', '.', 'Dilbert']"
Hey helicopter! Thx sooo much for flying above our building for 12 hour just now and waking everyone up!,yes,"['Hey', 'helicopter', '!', 'Thx', 'sooo', 'much', 'for', 'flying', 'above', 'our', 'building', 'for', '12', 'hour', 'just', 'now', 'and', 'waking', 'everyone', 'up', '!']"
This is the Its Monday. face.,yes,"['This', 'is', 'the', 'Its', 'Monday', '.', 'face', '.']"
Team photoshoot in the middle of the street was not awkward at all but i do love getting weird looks from strangers,yes,"['Team', 'photoshoot', 'in', 'the', 'middle', 'of', 'the', 'street', 'was', 'not', 'awkward', 'at', 'all', 'but', 'i', 'do', 'love', 'getting', 'weird', 'looks', 'from', 'strangers']"
Looks like England are missing Jimmy,yes,"['Looks', 'like', 'England', 'are', 'missing', 'Jimmy']"
And the world was always a good place to live in!!! holds a board,yes,"['And', 'the', 'world', 'was', 'always', 'a', 'good', 'place', 'to', 'live', 'in', '!', '!', '!', 'holds', 'a', 'board']"
"Yes Cutler,  please get hurt. Its only preseason.",yes,"['Yes', 'Cutler', ',', 'please', 'get', 'hurt', '.', 'Its', 'only', 'preseason', '.']"
Nice people the Tories,yes,"['Nice', 'people', 'the', 'Tories']"
..hahaha I know what u meant.,yes,"['..', 'hahaha', 'I', 'know', 'what', 'u', 'meant', '.']"
cant believe obama didnt try to throw in some gitmo detainees as an exchange before they came home.,yes,"['cant', 'believe', 'obama', 'didnt', 'try', 'to', 'throw', 'in', 'some', 'gitmo', 'detainees', 'as', 'an', 'exchange', 'before', 'they', 'came', 'home', '.']"
The I love you but Imma block you gtgtgtgtsmiling_face_with_hearteyesunamused_face,yes,"['The', 'I', 'love', 'you', 'but', 'Imma', 'block', 'you', 'gtgtgtgtsmiling_face_with_hearteyesunamused_face']"
After a lot of thought and planning  has launched her new logo.,yes,"['After', 'a', 'lot', 'of', 'thought', 'and', 'planning', 'has', 'launched', 'her', 'new', 'logo', '.']"
it has been,yes,"['it', 'has', 'been']"
Time to cut down all the trees! 2 teens killed in Yosemite when tree branch falls on tent,yes,"['Time', 'to', 'cut', 'down', 'all', 'the', 'trees', '!', '2', 'teens', 'killed', 'in', 'Yosemite', 'when', 'tree', 'branch', 'falls', 'on', 'tent']"
silly you have to,yes,"['silly', 'you', 'have', 'to']"
Always tell others how they should live their lives,yes,"['Always', 'tell', 'others', 'how', 'they', 'should', 'live', 'their', 'lives']"
Very disturbing image... Look at that little one threatening the police!,yes,"['Very', 'disturbing', 'image', '...', 'Look', 'at', 'that', 'little', 'one', 'threatening', 'the', 'police', '!']"
Just had a 2014 Bowman Draft Case break w 4 Missing. 4 Really I am sure you will replace them with something great,yes,"['Just', 'had', 'a', '2014', 'Bowman', 'Draft', 'Case', 'break', 'w', '4', 'Missing', '.', '4', 'Really', 'I', 'am', 'sure', 'you', 'will', 'replace', 'them', 'with', 'something', 'great']"
Whats the problem with Donald Trump,yes,"['Whats', 'the', 'problem', 'with', 'Donald', 'Trump']"
Love going to websites and Facebook pages to find they have not been updated for months or years!,yes,"['Love', 'going', 'to', 'websites', 'and', 'Facebook', 'pages', 'to', 'find', 'they', 'have', 'not', 'been', 'updated', 'for', 'months', 'or', 'years', '!']"
by whimsy.wonderful,yes,"['by', 'whimsy.wonderful']"
there are single celled plants superior to most i saw today,yes,"['there', 'are', 'single', 'celled', 'plants', 'superior', 'to', 'most', 'i', 'saw', 'today']"
. disinvited to Hick Prom I am sure he will bounce back from this terrible development.,yes,"['.', 'disinvited', 'to', 'Hick', 'Prom', 'I', 'am', 'sure', 'he', 'will', 'bounce', 'back', 'from', 'this', 'terrible', 'development', '.']"
but how much coal power does it take to power one of those wind farms,yes,"['but', 'how', 'much', 'coal', 'power', 'does', 'it', 'take', 'to', 'power', 'one', 'of', 'those', 'wind', 'farms']"
After his big weekend Shaw finally able to crack potent Sox lineup,yes,"['After', 'his', 'big', 'weekend', 'Shaw', 'finally', 'able', 'to', 'crack', 'potent', 'Sox', 'lineup']"
they wrote an suspected instead of a suspected. Lol intended,yes,"['they', 'wrote', 'an', 'suspected', 'instead', 'of', 'a', 'suspected', '.', 'Lol', 'intended']"
Thank you for your hindsight and wonderful insight into historical cause and effect.,no,"['Thank', 'you', 'for', 'your', 'hindsight', 'and', 'wonderful', 'insight', 'into', 'historical', 'cause', 'and', 'effect', '.']"
Yes that is,yes,"['Yes', 'that', 'is']"
"Mitchell, Weise, Gilbert. Or De La Rose, Emelin, Pateryn.",yes,"['Mitchell', ',', 'Weise', ',', 'Gilbert', '.', 'Or', 'De', 'La', 'Rose', ',', 'Emelin', ',', 'Pateryn', '.']"
Nice job modeling Christ.,yes,"['Nice', 'job', 'modeling', 'Christ', '.']"
Only Person I Trust More than  Democrats Are Useful Idiots For 1 Rulers,yes,"['Only', 'Person', 'I', 'Trust', 'More', 'than', 'Democrats', 'Are', 'Useful', 'Idiots', 'For', '1', 'Rulers']"
Can we have more stories about Man Utd. You really do not cover them enough,yes,"['Can', 'we', 'have', 'more', 'stories', 'about', 'Man', 'Utd', '.', 'You', 'really', 'do', 'not', 'cover', 'them', 'enough']"
makes sense on a road course,no,"['makes', 'sense', 'on', 'a', 'road', 'course']"
Rainbow Six delayed. Ubisoft taking their time to downgrade the graphics.,yes,"['Rainbow', 'Six', 'delayed', '.', 'Ubisoft', 'taking', 'their', 'time', 'to', 'downgrade', 'the', 'graphics', '.']"
no but it makes you a model,yes,"['no', 'but', 'it', 'makes', 'you', 'a', 'model']"
well thanks for taking ownership of this and going above amp beyond with your customer care,yes,"['well', 'thanks', 'for', 'taking', 'ownership', 'of', 'this', 'and', 'going', 'above', 'amp', 'beyond', 'with', 'your', 'customer', 'care']"
Pot using gangsters live on my street! I was terrified! I approached them and they offered me pizza! Lets get them!,yes,"['Pot', 'using', 'gangsters', 'live', 'on', 'my', 'street', '!', 'I', 'was', 'terrified', '!', 'I', 'approached', 'them', 'and', 'they', 'offered', 'me', 'pizza', '!', 'Lets', 'get', 'them', '!']"
Nice to see  putting winning and the team above everything.,yes,"['Nice', 'to', 'see', 'putting', 'winning', 'and', 'the', 'team', 'above', 'everything', '.']"
this gives those of us in geography a sense of job security. Keep it up,yes,"['this', 'gives', 'those', 'of', 'us', 'in', 'geography', 'a', 'sense', 'of', 'job', 'security', '.', 'Keep', 'it', 'up']"
"Yeah they should have done something original like, have some fine women hanging around cars and guns.",yes,"['Yeah', 'they', 'should', 'have', 'done', 'something', 'original', 'like', ',', 'have', 'some', 'fine', 'women', 'hanging', 'around', 'cars', 'and', 'guns', '.']"
"Nah, I am not nervous at all.",yes,"['Nah', ',', 'I', 'am', 'not', 'nervous', 'at', 'all', '.']"
Is the highest form of ,yes,"['Is', 'the', 'highest', 'form', 'of']"
omg he said he was the devil and he was coming to end the world,yes,"['omg', 'he', 'said', 'he', 'was', 'the', 'devil', 'and', 'he', 'was', 'coming', 'to', 'end', 'the', 'world']"
Very surprised Kozma made an out there. Hes usually clutch.,yes,"['Very', 'surprised', 'Kozma', 'made', 'an', 'out', 'there', '.', 'Hes', 'usually', 'clutch', '.']"
Ya America does not have a gun problem...,yes,"['Ya', 'America', 'does', 'not', 'have', 'a', 'gun', 'problem', '...']"
And the Tigers jump out to a mssive 12 point lead,yes,"['And', 'the', 'Tigers', 'jump', 'out', 'to', 'a', 'mssive', '12', 'point', 'lead']"
LeVon Washington still plays baseball!,yes,"['LeVon', 'Washington', 'still', 'plays', 'baseball', '!']"
Shocked my job is not on this list.  These Are the HighestPaying Jobs of 2015,yes,"['Shocked', 'my', 'job', 'is', 'not', 'on', 'this', 'list', '.', 'These', 'Are', 'the', 'HighestPaying', 'Jobs', 'of', '2015']"
"Well, that was the most delightful Friday evening rush hour ever.",yes,"['Well', ',', 'that', 'was', 'the', 'most', 'delightful', 'Friday', 'evening', 'rush', 'hour', 'ever', '.']"
"I heard that  and  are getting married, hence their divorces",yes,"['I', 'heard', 'that', 'and', 'are', 'getting', 'married', ',', 'hence', 'their', 'divorces']"
you are right... thad lewis is better than johnny Menzel bow,yes,"['you', 'are', 'right', '...', 'thad', 'lewis', 'is', 'better', 'than', 'johnny', 'Menzel', 'bow']"
Todays vlog MIGHT be up before midnight tonight thanks to s amazing service. Best internet ever.,yes,"['Todays', 'vlog', 'MIGHT', 'be', 'up', 'before', 'midnight', 'tonight', 'thanks', 'to', 's', 'amazing', 'service', '.', 'Best', 'internet', 'ever', '.']"
Blown away by the size of this generous,yes,"['Blown', 'away', 'by', 'the', 'size', 'of', 'this', 'generous']"
"Too cute, lol!",yes,"['Too', 'cute', ',', 'lol', '!']"
you know what I love people who respond to stress by being horrible humans to everyone around them!,yes,"['you', 'know', 'what', 'I', 'love', 'people', 'who', 'respond', 'to', 'stress', 'by', 'being', 'horrible', 'humans', 'to', 'everyone', 'around', 'them', '!']"
"Oh goody, the software manual is only 844 pages long. Thats just the sort of light summer reading I enjoy on a Friday afternoon.",yes,"['Oh', 'goody', ',', 'the', 'software', 'manual', 'is', 'only', '844', 'pages', 'long', '.', 'Thats', 'just', 'the', 'sort', 'of', 'light', 'summer', 'reading', 'I', 'enjoy', 'on', 'a', 'Friday', 'afternoon', '.']"
Exactly. Imma smartass...so stop bein a lil bitch ,yes,"['Exactly', '.', 'Imma', 'smartass', '...', 'so', 'stop', 'bein', 'a', 'lil', 'bitch']"
Are we all that led by  amp   I have not eaten Kale in 3 wks... Hope I do not die!,yes,"['Are', 'we', 'all', 'that', 'led', 'by', 'amp', 'I', 'have', 'not', 'eaten', 'Kale', 'in', '3', 'wks', '...', 'Hope', 'I', 'do', 'not', 'die', '!']"
love my mind... I totally wanted to sleep 3 hours on a saturday!,yes,"['love', 'my', 'mind', '...', 'I', 'totally', 'wanted', 'to', 'sleep', '3', 'hours', 'on', 'a', 'saturday', '!']"
"Awwwwwww, someone sayang this timid pap govt, soooooo scared of harassment ...",yes,"['Awwwwwww', ',', 'someone', 'sayang', 'this', 'timid', 'pap', 'govt', ',', 'soooooo', 'scared', 'of', 'harassment', '...']"
3am. Stuck awake. Another early night then.,yes,"['3am', '.', 'Stuck', 'awake', '.', 'Another', 'early', 'night', 'then', '.']"
Caught a knockout on my Disneys Cars fishing pole. Gold star to whoever can guess what,yes,"['Caught', 'a', 'knockout', 'on', 'my', 'Disneys', 'Cars', 'fishing', 'pole', '.', 'Gold', 'star', 'to', 'whoever', 'can', 'guess', 'what']"
of course! Whites are to blame for every fucking thing wrong w this country!,yes,"['of', 'course', '!', 'Whites', 'are', 'to', 'blame', 'for', 'every', 'fucking', 'thing', 'wrong', 'w', 'this', 'country', '!']"
Yeah right. I will believe that.,yes,"['Yeah', 'right', '.', 'I', 'will', 'believe', 'that', '.']"
". Well, I mean",no,"['.', 'Well', ',', 'I', 'mean']"
"I thought was the reason I had no friends in . But nope, it is me...",yes,"['I', 'thought', 'was', 'the', 'reason', 'I', 'had', 'no', 'friends', 'in', '.', 'But', 'nope', ',', 'it', 'is', 'me', '...']"
"Politics, n Poly many  tics bloodsucking parasites  Larry Hardiman",yes,"['Politics', ',', 'n', 'Poly', 'many', 'tics', 'bloodsucking', 'parasites', 'Larry', 'Hardiman']"
Look we are in support of increasing your sales !!  can provide ride too !!,yes,"['Look', 'we', 'are', 'in', 'support', 'of', 'increasing', 'your', 'sales', '!', '!', 'can', 'provide', 'ride', 'too', '!', '!']"
"There could not possibly be another interesting man in the house, just the great Austin",yes,"['There', 'could', 'not', 'possibly', 'be', 'another', 'interesting', 'man', 'in', 'the', 'house', ',', 'just', 'the', 'great', 'Austin']"
but it is on TV ... it must be real right Cause TV would not show us a nonrealistic reality right,yes,"['but', 'it', 'is', 'on', 'TV', '...', 'it', 'must', 'be', 'real', 'right', 'Cause', 'TV', 'would', 'not', 'show', 'us', 'a', 'nonrealistic', 'reality', 'right']"
Just watched that interview  those people SO do not get British humoursarcasm! U were awesome!!,yes,"['Just', 'watched', 'that', 'interview', 'those', 'people', 'SO', 'do', 'not', 'get', 'British', 'humoursarcasm', '!', 'U', 'were', 'awesome', '!', '!']"
I love work so much that I am missing two concerts this week just to go to work. expressionless_face,yes,"['I', 'love', 'work', 'so', 'much', 'that', 'I', 'am', 'missing', 'two', 'concerts', 'this', 'week', 'just', 'to', 'go', 'to', 'work', '.', 'expressionless_face']"
"Yes, apparently too many disabled people are getting away with living a life of unbridled pleasure",yes,"['Yes', ',', 'apparently', 'too', 'many', 'disabled', 'people', 'are', 'getting', 'away', 'with', 'living', 'a', 'life', 'of', 'unbridled', 'pleasure']"
you probably take kids candy as well,yes,"['you', 'probably', 'take', 'kids', 'candy', 'as', 'well']"
"Clearly, Obama, amp Obamacare have ruined this economy U.S. jobless claims drop to 4112year low",yes,"['Clearly', ',', 'Obama', ',', 'amp', 'Obamacare', 'have', 'ruined', 'this', 'economy', 'U', '.', 'S', '.', 'jobless', 'claims', 'drop', 'to', '4112year', 'low']"
I love listening to babies giggle through the emotional Sciles scene from the last ep of,yes,"['I', 'love', 'listening', 'to', 'babies', 'giggle', 'through', 'the', 'emotional', 'Sciles', 'scene', 'from', 'the', 'last', 'ep', 'of']"
