Tweet,Sarcasm
Oh no! You mean improving lives of many Chipotle employees means a slightly more expensive taco,yes
Hey I do not think you guys have sent me enough emails. Is there a mailing list I can sign up for,yes
I am at the library and my phone has been dead for the majority of the day. This is the hell I live in.,yes
"I hate when I tell someone just how intelligent,sexy and amazing I think they are and then find out they do not understand",yes
"Corporate welfare fails again, we are absolutely shocked!",yes
Jordys knee would be fine right now if the game was played at night as originally planned.,yes
Having the best day ever!,yes
The Only Running I do Is LATE,yes
Only 92 win to sweep series!!,yes
So when I first joined Twitter it was only because I was a part of some random I Love Vampires fan club. sigh those good old days,yes
Love this HD web broadcast of an important Pan Am sports finale.,yes
"jr can scout talent, why bother having him on a talent show. facepalm",yes
"I know, I too was being",yes
So sat at terminal 5 having a coffee with the bae   listing to some dope tunes on the radio........,yes
AWWW FUCK CELTIC HAVE ONLY GOT THREE STRIKERS !! FUCCCCCKK AW NAW ! SOMEBODY HELP US !!,yes
Gotta love the automatic response emails from State representatives!,yes
tells me the Rockies are going to sweep this series. I appreciate that. I will not waste my time watching.,yes
If only the 10 year old had a gun too.  via,yes
"Oh my God, Huckabee....Youre so hilarious...ha ha...ha.......ha.",yes
Hindsight is 2020.,yes
so glad I took the time to shower before work,yes
Thank you to everyone on snapchat for informing me that school starts tomorrow because I really did not have a clue,yes
RT   missed what exactly about McFarland,yes
Yes,no
And the  experience just gets better and better she says with a face like thunder And I get to pay for it too,yes
Whelp Samsung is deciding to bastardize their Note line for vanity.The S6 integrated battery is great,yes
LOL...was confused at 1st! Like wait...what Then I realize it was when I saw the drama!,yes
oooh that was a good one.,yes
"also, I think you misunderstood my tweet.",yes
No checks Czechs are welcome.,yes
sell him he is shit,yes
My bad did I go to far with simpleton Should have stopped at brainwashed.,yes
But Hulk Hogan was Mr. Ts tag team partner in 1985. Proof he is not racist in any way!,yes
so I was pretty close to being done and then  failed to install. Back to square 1 with 2.7gb download... Great.,yes
"Well, there is only one solution. If seagulls are as dangerous as the media suggests it is time to send in the SAS",yes
They say write what U kno so...  JK! Wish I could say I was guilty of this but my life is almost too perfect!,yes
Cant sleep! Thinking way too much!,yes
An automated system set up by the council to make things easier does not actually work. I am shocked to my very core,yes
acche din for both China and India,yes
WOW!!! Can totally see the difference!,yes
"Accept that some days you are the pigeon, and some days you are the statue.  Dilbert",yes
Hey helicopter! Thx sooo much for flying above our building for 12 hour just now and waking everyone up!,yes
This is the Its Monday. face.,yes
Team photoshoot in the middle of the street was not awkward at all but i do love getting weird looks from strangers,yes
Looks like England are missing Jimmy,yes
And the world was always a good place to live in!!! holds a board,yes
"Yes Cutler,  please get hurt. Its only preseason.",yes
Nice people the Tories,yes
..hahaha I know what u meant.,yes
cant believe obama didnt try to throw in some gitmo detainees as an exchange before they came home.,yes
The I love you but Imma block you gtgtgtgtsmiling_face_with_hearteyesunamused_face,yes
After a lot of thought and planning  has launched her new logo.,yes
it has been,yes
Time to cut down all the trees! 2 teens killed in Yosemite when tree branch falls on tent,yes
silly you have to,yes
Always tell others how they should live their lives,yes
Very disturbing image... Look at that little one threatening the police!,yes
Just had a 2014 Bowman Draft Case break w 4 Missing. 4 Really I am sure you will replace them with something great,yes
Whats the problem with Donald Trump,yes
Love going to websites and Facebook pages to find they have not been updated for months or years!,yes
by whimsy.wonderful,yes
there are single celled plants superior to most i saw today,yes
. disinvited to Hick Prom I am sure he will bounce back from this terrible development.,yes
but how much coal power does it take to power one of those wind farms,yes
After his big weekend Shaw finally able to crack potent Sox lineup,yes
they wrote an suspected instead of a suspected. Lol intended,yes
Thank you for your hindsight and wonderful insight into historical cause and effect.,no
Yes that is,yes
"Mitchell, Weise, Gilbert. Or De La Rose, Emelin, Pateryn.",yes
Nice job modeling Christ.,yes
Only Person I Trust More than  Democrats Are Useful Idiots For 1 Rulers,yes
Can we have more stories about Man Utd. You really do not cover them enough,yes
makes sense on a road course,no
Rainbow Six delayed. Ubisoft taking their time to downgrade the graphics.,yes
no but it makes you a model,yes
well thanks for taking ownership of this and going above amp beyond with your customer care,yes
Pot using gangsters live on my street! I was terrified! I approached them and they offered me pizza! Lets get them!,yes
Nice to see  putting winning and the team above everything.,yes
this gives those of us in geography a sense of job security. Keep it up,yes
"Yeah they should have done something original like, have some fine women hanging around cars and guns.",yes
"Nah, I am not nervous at all.",yes
Is the highest form of ,yes
omg he said he was the devil and he was coming to end the world,yes
Very surprised Kozma made an out there. Hes usually clutch.,yes
Ya America does not have a gun problem...,yes
And the Tigers jump out to a mssive 12 point lead,yes
LeVon Washington still plays baseball!,yes
Shocked my job is not on this list.  These Are the HighestPaying Jobs of 2015,yes
"Well, that was the most delightful Friday evening rush hour ever.",yes
"I heard that  and  are getting married, hence their divorces",yes
you are right... thad lewis is better than johnny Menzel bow,yes
Todays vlog MIGHT be up before midnight tonight thanks to s amazing service. Best internet ever.,yes
Blown away by the size of this generous,yes
"Too cute, lol!",yes
you know what I love people who respond to stress by being horrible humans to everyone around them!,yes
"Oh goody, the software manual is only 844 pages long. Thats just the sort of light summer reading I enjoy on a Friday afternoon.",yes
Exactly. Imma smartass...so stop bein a lil bitch ,yes
Are we all that led by  amp   I have not eaten Kale in 3 wks... Hope I do not die!,yes
love my mind... I totally wanted to sleep 3 hours on a saturday!,yes
"Awwwwwww, someone sayang this timid pap govt, soooooo scared of harassment ...",yes
3am. Stuck awake. Another early night then.,yes
Caught a knockout on my Disneys Cars fishing pole. Gold star to whoever can guess what,yes
of course! Whites are to blame for every fucking thing wrong w this country!,yes
Yeah right. I will believe that.,yes
". Well, I mean",no
"I thought was the reason I had no friends in . But nope, it is me...",yes
"Politics, n Poly many  tics bloodsucking parasites  Larry Hardiman",yes
Look we are in support of increasing your sales !!  can provide ride too !!,yes
"There could not possibly be another interesting man in the house, just the great Austin",yes
but it is on TV ... it must be real right Cause TV would not show us a nonrealistic reality right,yes
Just watched that interview  those people SO do not get British humoursarcasm! U were awesome!!,yes
I love work so much that I am missing two concerts this week just to go to work. expressionless_face,yes
"Yes, apparently too many disabled people are getting away with living a life of unbridled pleasure",yes
you probably take kids candy as well,yes
"Clearly, Obama, amp Obamacare have ruined this economy U.S. jobless claims drop to 4112year low",yes
I love listening to babies giggle through the emotional Sciles scene from the last ep of,yes
Getting scammed on some MJ is pretty cool.. unamused_face,yes
Seriously my vacation is horrible.,yes
I just love people with shitty attitudes,yes
Good point. Didnt say I NEEDED more followers however. Just saying you would think I would have more since I am so great.,yes
TAHM BRADY IS A FAHKIN AMERICAN HERO!!  HE DONT NEED TAH CHEAT CUZ HE IS UNSTOPPABLE!!! ITS A FAHKIN CONSPIRACY!!!!,yes
So is  retiring Hmmm had not heard that,yes
What an amazing deal!  is SO generous with the prices of their nonstandard crap.,yes
This is their year!,yes
Love when u land and ur gate is still occupied.,yes
How dare you  ... Just let them hit,yes
"So, based on transcripts wBradys unequivocal denial under oath ampGoodells ruling, should expect perjury charges",yes
Bahahaha. OrIWillSlapPeople   sarcasm_only with repostapp,yes
"also, how DARE you read the teleprompter Its like it is your job to report the news or something",yes
seeking to undermine a nonTory MP Nick How unlike you,yes
How dare those evil scouts embarrass ! They must be part of some sort of opposition plot! Probably a fake rule!,yes
really kelvin you said playoffs! As a baseball guru we call it the postseason. Pshhhh playoffs..,yes
You should tweet that to Jean just in case ,yes
Didnt Carlos colon have the world title like 84 times,yes
but your company knows a nice place for cheap that it recommends to consultants and the like...,yes
Oh certain hockey players are such mature upstanding gentlemen,yes
I am so glad this thing is not letting me save my work.,yes
Someone lend me a few million....I wanna make a movie as awesome as Sharknado.,yes
Today is a prime example of why Nashville is a dull city where no one wants to live. Theres nothing to do tonight.,yes
As  would say he should have just had the Tommy John.,yes
Switching internet providers. The necessary work is scheduled for Thursday pm. We just got cut off. Great job .,yes
This preacher seems nice.,yes
Cant wait to give a speech later in public speaking,yes
"Yeah, it is better to degrade and humiliate your spouse off camera, like he did.",yes
"Sorry, spelling error. I meant Amurica, aka U.S. which is part of America  ",yes
A Friday night match at  for  in Round 23. Thatll be fun to get to.,yes
Oh no I do not know how I am going to cope........   raised_hand_mediumlight_skin_tonered_heartwoman_dancing_medium_skin_toneparty_popperclapping_hands_mediumlight_skin_tone,yes
I wonder why Jacob Butterfield did not want to play for us!,yes
and the first roll of our dampd game is a 2. thank goodness for my 3 modifier.,yes
Antichrist Pervert!,yes
What a shocker,yes
Has anyone ever really seen an angry Canadian Maybe not since social media...,yes
Ban Condom Ads and slutty women on television because who needs sex education Bad for our culture,yes
Sarcasm is such a beautiful thing...it really brings people together,yes
I see ITV is upping it is game with,yes
"Great offers on at the Ings store, Hull. The entire Pepsi range had this offer on. Might have to get 2",yes
"Look at all these dogaggressive pit bulls... Zorra, Lexy, and Jackson are all available for",yes
Standard.,yes
"Hey  Carlos Gomez is causing problems in Houston too . . . well, there is a surprise.",yes
sounding like a man is soo attractive _,yes
hey just wanted to say thanks  puberty for letting me be apart of the itty bitty fucking titty committee luv it,yes
I hate ukeleles too,yes
"Also, driving to Devon via Camberley for a meeting is going to do my back the world of good",yes
Use  or  Make sure driver is registered in  More Govt. Good.,yes
why you so mad at Shelly,yes
RT  Thanks  amp !,yes
Another INT by Wilson... Time to pull him!,yes
Miley started performing and I stopped watching. Thanks for a good show mtv.,yes
"Its not Halloween there is no need to wear that ugly mask...oh, wait that is your face.",yes
think his tone needs a lot of powder and concealer. He has a very red undertone.,yes
I purple_heart Snarky Keychains!,yes
woke up in the BEST mood smiling_face_with_hearteyes,yes
Looks like Rorys Hall of Fame commercial is back this year for another,yes
3 people unfollowed me on Twitter last night. Please respect my privacy during this difficult time.,yes
Stopping your 10 grandkids in front of my apt to watch an ambulance responding to a call is not as rude as a 7 yr old saying damn,yes
Man U has a brilliant defense.,yes
"Yeah, but so, so enlightening for them, right,   Seriously it is hard work, but change is one at a time.",yes
Other football teams are available,yes
I just cannot wait to get my wisdom teeth out today! Then be doped up for the next couple days!,yes
My timing is always impeccable...,yes
"TGIF , shite week at work. On a good note I have got to hand over 1200 for a new drive today",yes
Thats a bummer.,yes
Perfect weather for flying!,yes
"well ok then, u make a valid point. I really agree with the post I forgot to type ps love u guys, great stuff",yes
Sorry but UR life does not matter UR not black,yes
do you know what  means,yes
"agree, I recommend  Sardana and Chaudhari for the post P",yes
BAHAHA...this is just too perfect! face_with_tears_of_joy,yes
"What because their old they cannot be thieves Shocker,  that is",yes
Google makes OSes,yes
"Just submitted a full rough draft of my Chapter 3.... my reward a few hours of sleep, hooray!  !",yes
Aw. Thats sweet.,yes
Cena wins again. Yawn. What creative booking.,yes
We have another heat wave! Yay!,yes
I can definitely see why the  sacked Tooves. They were disgraceful tonight,yes
"but I was told he is a crazy dictator who muzzled scientists, destroyed the environment, and eats kittens!",yes
"Folks think it is revolutionary to call black women bitches, hoes and skanks. Lets name a holiday after NWA! Whoo hoo",yes
Woooowwww that is really fuckin craaazzzyyyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,yes
Having a 24 marathon because I need more stress in my life.,yes
do not you guys just love being assigned readings due on the second day of class beaming_face_with_smiling_eyes,yes
Did you know that parking garage is actually Latin for smoking area,yes
looks to the right Oh no how would I ever cope with such a very serious threat...,yes
Ha ha. Lord knows it will be on 20 times over the next few weeks. Its THAT good.,yes
Feeling your hip flexor pop as the gun goes off is awesome!,yes
Wisconsin had 2.878 million jobs right before the recession. We now have 2.882 million. Very impressive Scott Walker.,yes
Omg I love when people are out at the pool being loud and obnoxious!,yes
It would be a shocker if  bullpen blew this lead.,yes
Pitbulls are so vicious... two_heartsdog_facegirl_light_skin_tone ,yes
Haha  totally owning,yes
taught me to keep warming up the tires with a white flag under caution  because you never know!,yes
And we are back. Yay.   ,yes
10 Reasons  People Are Smarter Than You  via,yes
Charlie Sheen to Donald Trump Let Me Be Your Running Mate!  via,no
"But it is recovering! Home ownership rates drop to 63.4, lowest since 1967",yes
"Thank God, the Indians drawed with the Bangladeshi gentlemen in the one off test",yes
You are as handsome as you are smart   Trollng my past tweets..really,yes
"BREAKING Obama changes Mt. McKinley to Mt. Denali. Next change, Mt. Rushmore to Mt. Obama.",yes
time to run away from you then,yes
is a GodMan So How Can He !!,yes
I just love sarcasm.,yes
The majority of my Twitter conversations are onesided.  Awesome.  Just awesome.  LOL.,yes
"Please continue to retweet, I love getting on here once every few days and seeing one name for 4 hours of scrollingOK_hand_light_skin_tone",yes
Use it. Love it.,yes
dont know how he has managed to adapt from La Liga  what with it being so slow compared to Premiership.,yes
"I agree, they are all friends till death.",yes
by the good American people of course.,yes
I drive way too fast to worry about cholesterol.,yes
Sweet subtle jab at the Patriots,yes
Seems  is as impressed with the commentators as everyone else on my timeline,yes
"If  says it, it must be true, right",yes
sorry dude. No one told me you were in charge of other peoples opinions. Didnt mean to disrespect your position,yes
Gotta love a girl with that much class.,yes
Josh Donaldson sucks! Two at bats without a hit.,yes
Cait is mom referencing thousands of year old text to explain her child. GOOD. Thats not insane at all,yes
was created to confuse the .  Credit f  Isidro Labrador Obeso .,yes
"Put that guy on waivers, he is awful",yes
Even better in the second test. smartcares   Mactan Cebu Airport,yes
The data in 409 said that Christianity was to blame. No other problems. Just Christianity.,yes
but what if it is Michael Conforto,yes
knows the law better than Supreme Court or  PD,yes
Common test next week.. i am totally looking forward to it..,yes
Youre 24 but you are hanging out with a senior in high school... Thats cool.,yes
Today has been a real treat so far.,yes
Love being sick face_with_medical_mask victory_hand_mediumlight_skin_tone,yes
but but but HE DOESNT FOLLOW THE NUMBER 1 GUY!,yes
"Nope, not photoshopped. Thanks  for a stellar job.",yes
I was kidding... Next time I will include the tag ,yes
"nah, you can stick whole alphabet in dropdown",yes
wait! A race ending in a caution No way!,yes
"Otw home from celebrating , my ebreak snaps amp my dashboard lights up like a Xmas tree. face_with_steam_from_noseenraged_faceChristmas_treeautomobileSOS_button",yes
I  to  for renewing my faith in religion. You saved me maate. You saved me.,yes
Still no updates from  about the criminal . I am sure it is normal administrative delay,yes
"TV looks soooo amazing tonight, I am going to have real trouble deciding what to watch",yes
After all of these fees I basically bought a 3rd ticket. SO CONVENIENT THO,yes
Great job  ur mobile app will not even load on a very important day in the markets. Fantastic job!,yes
I do not know because it is not on your username lol,yes
"Markus first day back, the car breaks down and we have to get towed. Best first day back ever!",yes
so you basically wished yourself to die Very smart people. You are so much better than usclapping_handsclapping_hands,yes
The demise of G  who knew that would happen!,yes
That sarcasm face_with_tears_of_joy,no
"way too much excitement in that ballpark today, please ask the fans to contain themselves!!",yes
sorry. Forgot my tag,yes
Presidential candidates for 2020 US elections are already knownfamily members of Bushs and Clintons and maybe Trumps too.,yes
Cant wait for the crowd of basics with Ugg boots and shorts to grace us with their presence.,yes
"Oh so those players are off the table, you say Well this guy must be fired immediately for saying this.....",yes
We did not steal anything at the school party  im the guy on the left,yes
"my commute is not quite miserable enough, can you please start roadworks outside my house to top it off",yes
Yeah. Hed make a terrible James Bond.,yes
"God, Ricketts is SOOO BAD.",yes
Had a great time in skate 3 with  tonight all thanks to,yes
Had such a great time last nightface_with_tears_of_joyunamused_face,yes
All lanes  blocked. Great signage,yes
Watching classic hind movie ..sense of old days,yes
Hot and dusty start today 2,yes
Wow you liked 10 of my pictures from a long time ago That really attracts me and makes me want to talk to you ,yes
"Just another day on the Isle of the Lost, singing about how bad we are.",yes
How great is this O Line.,yes
Tut...tut...blacks do not value education,yes
And September is off to a roaring good start.,yes
Lets get today started.... Woo....,yes
How bout people who are sarcasm at the same time,yes
Because nothing marks the start of the season quite like a crock pot... And it is 25 off!!,yes
maybe  would like exclusive rights to story,yes
"I mean it was not because he was fired and he blames these 2 people he shot, it was because he was racist",yes
Drinking  from a  paper cup.,yes
"great stroke story, but why on earth did the teacher try 2 discourage her project Didnt adhere to the agenda",yes
Thats a shame. MSNBC bumps Al Sharpton to Sunday morning ,yes
might be the lowest form of wit but actually makes people brighter and more creative,yes
I cannot wait to see the peerreviewed papers debunking evolution.,no
Its a scientific breakthrough.,no
"Rule  in framework design put the words modern, lightweight, simple, powerful into the namedescription of said project.",yes
"Bureaucrats cut red tape, lengthwise.",yes
From my fav muppets.,yes
Andy Murray started so shit coz he was upset bout Danny Welbecks injury as well,yes
"Gee, thanks for coming out.",yes
"sure, that is it",yes
20 minutes of having  XPS 15 and I already had to reinstall  10  Great OK_hand_medium_skin_tone,yes
When people try to run off their misrable attitude on you gtgtgtgt,yes
So relieved. Sepp Blatter has endorsed the Russian World Cup. All is well in her world,yes
I just wanna thank whoever posted that pic of Oberyn vs The Mountain.,yes
How is that possible  Obama and  said that guns are the problem.,yes
But he was a fat kid and no girls ever paid attention to him. He was owed.,yes
My favorite thing is when Luis opens my snaps but does not snap me back... enraged_face,yes
Do you know what I love Explaining the same shit over and over again to the same people. THAT is what I love.,no
"Like Rachel and Jen, are not they the same thing",yes
Just got 15 emails about a Facebook conversation in which I was actively involved.Thanks for telling me.,yes
"Proof he cannot relate to his players, he should just know what they like.",yes
Its such a hard task having to lounge on the sofa with my baby sleeping on me,yes
gpro is a recession proof stock. Didnt they teach you that on the 12k CFP course,yes
Tonight I learned that Miley smokes potface_with_tears_of_joy,yes
it also would have been included in reservation system of country,yes
That shitty feeling we all love so much smiling_face_with_smiling_eyes,yes
par for the course eh Grab a weapon and have at er I say!,yes
I am so funny pensive_faceexpressionless_face,yes
Tribes having a team meeting yes because the last one worked so well,yes
Really! How long did it take them to come to this mindboggling realisation...Pffffffffff. YES I am being sarcastic!,yes
Waited 30min in the scorching sun for the M9 and both went out of service. Thanks for the great service MTA!,yes
Can you guess what these methods do Meaningful Method Names,yes
never texts me back. Hes the real NVP.,yes
So glad he is a presidential candidate....,yes
"See, this is what happens when one forgets ones hashtags.",yes
TN govt sues Jayalalitha for commenting on Ammas ill health when she said she could not attend kalams funeral,yes
Cant wait to hear big Sam on,yes
Now it feels more like a proper  game... Penalties galore!,yes
Disappointing PLL Finale and the news of Reyes on TXF.....what an amazing night,yes
damn them socialists for wanting there party back  how dare they,yes
Did you know tomorrow is  ...it sounds like last wks debate has provided lots of great material. Cant wait.,yes
I was thinking about wrapping the engine with it as well,no
Its a catastrophic success.,yes
"WOW,  looks awful!",yes
He doesnt care what you have to say,yes
I love listening to Cheerleader when I am working out! Thanks 24 Hour Fitness!,yes
I am just gonna stop tweeting just to make you happy smiling_face_with_smiling_eyes,yes
I am baffled sometimes when I see nobody out on the course.,yes
"Past few nights have been rough. Cant get too hot or my body starts looking all splotchy. Thanks, allergic reaction.",yes
I have earned my  I am better thannnnn everyone,yes
"We saw all the kids before they went to school, now I cannot wait for Facebook to show me them after!",yes
Love being sarcastic OK_hand_mediumlight_skin_tone,yes
I love the reactiveness of our current times.,yes
tun razaks friend.,yes
"No.  I am being genuine, my lady.",yes
yeah thanks a lot  it is really helpful for those of us getting to work  when tram terminates 45 minutes away.,yes
quarterbacks get the girls MIND BLOWN,yes
My favorite thing is when random psychos reply to me and argue things I never said.,yes
Great running weather,yes
I think she still has too much clothing.,yes
"Remember, kids,  is more boring and predictable than .",yes
But all I really want is the one with the black panther,yes
"So I guess that is that, nice work Terry Ryan, you really put together some nice trade deals.",yes
Good to see Cris Carter has essentially no repercussions from his fall guy advice.,yes
Some People Is So Touching ,yes
just said that it was a good idea to wear a sweatsuit tonight. Lol!,yes
oh pls I  to,yes
Another fine example of cost cutting,yes
"2 mothers, no father. Or, 2 dads, no mother. Makes total sense, right",yes
Really She destroyed evidence requested of her by an ongoing FBI investigation! Great reporting CNN!,yes
U know your day is great when you are having diarrhoea for days and u have a bad cough smirking_face,yes
Why does  have the WORST scheduling I enjoy having 5 hrs between classes and my one day off taken away,yes
Colour me surprised. NDP Open To Coalition Government With Liberals To Take Down Tories,yes
OMG! I am still in shock over those crazy chicks that took my joke to Audrey seriously! Wow,yes
Todds ratings sucked on Rundown and MTP so now replace Ed with Todd who is a numbers guy Brilliant!,yes
HSC trials start today and I am very excited smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyes,yes
Fat people have the best diet advice.,yes
Of course Obama will speak at the funeral. Real leaders see division and act quickly to promote peace and unity.,yes
"wow, thank you for this important news update ALERT THE WORLD!  She got her ear pierced wearing a BRA",yes
My degree of depends on your degree of stupidity,yes
"So I really need to put the now Christ, man, read the tweet as intended!",yes
"Super excited that the UK picked nothing, but the best and brightest from the USA to represent us on",yes
So we drop to their level amp do the same thing to others makes sense,yes
"Youre right.we just follow what we are taught blindly,and never ask questions or seek answers.",yes
but but it is going to snow somewhere this winter!,yes
"Wow,  I bet the rest of the country is loving this exciting   vs  game on . Holy Cow.",yes
Thank you dear sister for your kind words.D . You look . I got your sarcasm!,yes
Refuse to watch  100m final! Cant support a sport which is not racially representative!,yes
"Good morning! I wake up with a toothache,it is going to be a fun day",yes
That Fister trade just keeps on paying dividends,yes
Thats awesome! I just saw a taxicab driver leaving the pot dispensary.,yes
you foregot the part,yes
Its shocking that they rebuilt white New Orleans before black New Orleans when black New Orleans was the majority. smh.,yes
Really have a desire to put in a full days work on the job since the boss said most of it does not matter one bit.,yes
This is how  the new monk tier looks.,yes
Will western powers demand the  drone is returned unharmed Will they condemn this terrorist act,yes
Please please PLEASE repost that video of Jeff Bridges acting about America. I missed it the first 200 times it was shared.,yes
How dare you use logic!!!,yes
Thx 4 the RT! Its nice to know somebody cares not about the whole caring thing,yes
"hey man, I too am addicted to making shit up and belligerently defending my integrity",yes
"Not sure what to make of . Guys innocent until proven guilty, and once again the internets response has been calm.",yes
Really This is surprising.,yes
"Not suspicious at all, Six...",yes
why would they They are an awesome team!,yes
because that is what we need.,yes
Another  today in West . M2.6 near Ft. Stockton  Not much  out there,yes
"She is obviously qualified for office, then.",yes
Life with a teen.  Its all my fault.  As it should be.,yes
and also watchin porn wen parliament is in session is not public indecency P,yes
there seems to be ZERO bias in this tweet,yes
I was making a joke. Should have tagged it or something.,yes
"No they cannot, but  might",yes
No shit.... REALLY!,yes
"Macy knows my address now. I hope she does not come visit me. I SAID, I REALLY HOPE THAT DOESNT HAPPEN I MEAN IT WOULD BE THE WORST",yes
Now that he signed we can calmly bench him or play at LW.,yes
If  existed during Indias independent struggle!    ,yes
"Wow, Ryback won, I am so shocked.",yes
But ... football.,yes
Oh hubby will be pleased,yes
Costume sketch for The Life Saver That Is Sarcasm!     ,yes
Manchester city,yes
Not in Mt. Zion though They never do anything over there.,yes
I use because beating the shit out  of people is ilegal,yes
oh I know. And it looks like they are gonna come back and win this one too. Just like they did against the DBacks,yes
Bills oh how I love paying em.,yes
"Oh good, I was hoping it would be super hot again today neutral_face  ",yes
"You know what does not really work on the internet, but people still try to use it all the time and it is annoying as fuck!",yes
What a great matchsleeping_facesleeping_facesleeping_face,yes
"4 all Irelands, 9 Munster, 3 all stars and a player of the year but your probably right!!!!",yes
naturally wanting segregation from a group of people because of their race doesnt make you a racist,yes
I sure am glad the Dodgers addressed their bullpen issues at the trade deadline!,yes
"Womenonly carriages So instead of addressing the source of sexual assults, we segregate Gold star",yes
Thanks  for giving us a memorable game    ,yes
Jose says he does not want to talk about players from other clubs,no
Shocker. The  open the game with a power run. Completely out of character for Harbaugh.,yes
I am a little annoyed there is not more news coverage of Zayn and Perries break up!,yes
Going to have to wake up three hours earlier tomorrow to do the whole school thing. I am sure that will not be horrific at all,yes
"The world needs more of these bequiffed, bearded guys doing selfie videos with humorous outcomes. I just cannot get enough of them",yes
Being left handed is a choice.  And a mark of Satan.  You will burn in hell.,yes
"Oh good, it is nice to seel that Foxs slapped together We Dont Want to Lose the Rights piece of a movie will win the box office.",yes
The fact that  is live tweeting  is amusing and terrifying,yes
Ready to be entertained!!!!!!,yes
First Class at Csun  starting at 8 am,yes
That WKU offense sure is something!!,yes
I feel like stolen  are a seasoned staple of our city so proud,yes
Oh woe is me....poor Shelli,yes
"Skip Bayless is just a humble, modest observer",yes
I know mate.......,yes
"Yes, teamwork is quite the obvious method of... cheating.",yes
Job hunting is the best,yes
"Just got my GCSE results three Bs, three Cs, one D, one E and an undetermined physics result. Thanks  great job",yes
Better than Mega Man Soccer!,yes
"Wow, Toronto. Are the  minor league affiliates going to be able to field teams, or forced to forfeit the rest of the yr",yes
All of you who are whining about who was selected as a starting QB must have it all together,yes
Bcos detention camps are the only solution for people with no country or home to go to......,yes
"Everybody is mad about the finish at , I am just mad Sting was not there.",yes
Excellent fightback by the Aussies to take the game into the third day.,yes
im real glad they changed the schedule and moved the Mario 3 race to a time when I will not be home,yes
"Well you know, he is making the run and tackle.. so yeah it is his fault! Lol",yes
follows people to get her name out there,yes
What it looks like when you drink water   so what does it look like when you drink beer ,yes
dang it grim I really wanted one of those toys.,yes
So Tiger Woods did not make the cut at the  and the golf world has not collapsed I am absolutely shocked,yes
I am sure he will get snatched up and be on a major league roster immediately,yes
So there is this new invention called canned foods. Keep throwing away my fresh produce but THIS IS GENIUS,yes
how can they harvest body parts from clumps of cells they are babies!,yes
"CLEARLY this guy is missing some names, but it is still a good article, I guess.",yes
"Yeah, because is always so obvious even without a hashtag.",yes
So I guess to avoid  attention ... murder 1 at a time ... the multiple shootings gathers too much attention.,yes
Hallelujah!!!!Gibbs will live! Such a relief!,yes
Hope we get to drop those 600k bombs on Syria .. just makes so much sense.,yes
pensive_face  G Town,yes
Thank you for taking the time to answer my texts... Means a lot,yes
Smile SelfPee  All for a,yes
"bro, Lions lives matter, too. Dont question it.",yes
"exactly, nothing but trouble with the PEDs and the kitten punching such a nightmare. sad_but_relieved_face",yes
HOLD THE PHONE. A POP STAR TRYING TO MAKE MONEY  you capitalist monster..,yes
Stuck in the  after such a long long time.  I had truly missed u. Thank you  for the sweet nostalgia,yes
because of all the children that got hit. unamused_face,yes
"hey .  . , thanks for NOT having ANY detour signs during parking renov, loved being late to the movie",yes
